,total_screened,positive_detected,positivity_rate
0,25230.0,172.0,0.6817281014665081
1,25230.0,157.0,0.6222750693618708
2,25230.0,165.0,0.6539833531510107
3,25230.0,158.0,0.6262386048355133
4,25230.0,170.0,0.6738010305192231
5,25230.0,186.0,0.737217598097503
6,25230.0,180.0,0.713436385255648
7,25230.0,173.0,0.6856916369401506
8,25230.0,168.0,0.6658739595719382
9,25230.0,183.0,0.7253269916765755
10,25230.0,157.0,0.6222750693618708
11,25230.0,225.0,0.89179548156956
12,25230.0,229.0,0.90764962346413
13,25230.0,156.0,0.6183115338882283
14,25230.0,186.0,0.737217598097503
15,25230.0,158.0,0.6262386048355133
16,25230.0,215.0,0.8521601268331351
17,25230.0,170.0,0.6738010305192231
18,25230.0,159.0,0.6302021403091558
19,25230.0,142.0,0.5628220372572335
20,25230.0,181.0,0.7173999207292905
21,25230.0,192.0,0.760998810939358
22,25230.0,140.0,0.5548949663099485
23,25230.0,134.0,0.5311137534680935
24,25230.0,143.0,0.5667855727308759
25,25230.0,178.0,0.7055093143083631
26,25230.0,167.0,0.6619104240982957
27,25230.0,142.0,0.5628220372572335
28,25230.0,164.0,0.6500198176773682
29,25230.0,182.0,0.721363456202933
30,25230.0,206.0,0.8164883075703527
31,25230.0,173.0,0.6856916369401506
32,25230.0,169.0,0.6698374950455807
33,25230.0,165.0,0.6539833531510107
34,25230.0,150.0,0.5945303210463734
35,25230.0,150.0,0.5945303210463734
36,25230.0,151.0,0.5984938565200159
37,25230.0,204.0,0.8085612366230678
38,25230.0,209.0,0.8283789139912803
39,25230.0,148.0,0.5866032500990884
40,25230.0,192.0,0.760998810939358
41,25230.0,225.0,0.89179548156956
42,25230.0,152.0,0.6024573919936583
43,25230.0,159.0,0.6302021403091558
44,25230.0,181.0,0.7173999207292905
45,25230.0,149.0,0.5905667855727309
46,25230.0,196.0,0.7768529528339279
47,25230.0,174.0,0.6896551724137931
48,25230.0,164.0,0.6500198176773682
49,25230.0,193.0,0.7649623464130004
50,25230.0,197.0,0.7808164883075703
51,25230.0,199.0,0.7887435592548553
52,25230.0,192.0,0.760998810939358
53,25230.0,180.0,0.713436385255648
54,25230.0,201.0,0.7966706302021404
55,25230.0,173.0,0.6856916369401506
56,25230.0,182.0,0.721363456202933
57,25230.0,173.0,0.6856916369401506
58,25230.0,176.0,0.6975822433610781
59,25230.0,177.0,0.7015457788347206
60,25230.0,170.0,0.6738010305192231
61,25230.0,165.0,0.6539833531510107
62,25230.0,197.0,0.7808164883075703
63,25230.0,187.0,0.7411811335711455
64,25230.0,179.0,0.7094728497820055
65,25230.0,204.0,0.8085612366230678
66,25230.0,194.0,0.7689258818866429
67,25230.0,216.0,0.8561236623067776
68,25230.0,206.0,0.8164883075703527
69,25230.0,184.0,0.729290527150218
70,25230.0,181.0,0.7173999207292905
71,25230.0,177.0,0.7015457788347206
72,25230.0,206.0,0.8164883075703527
73,25230.0,167.0,0.6619104240982957
74,25230.0,178.0,0.7055093143083631
75,25230.0,160.0,0.6341656757827983
76,25230.0,134.0,0.5311137534680935
77,25230.0,206.0,0.8164883075703527
78,25230.0,153.0,0.6064209274673008
79,25230.0,175.0,0.6936187078874356
80,25230.0,167.0,0.6619104240982957
81,25230.0,175.0,0.6936187078874356
82,25230.0,189.0,0.7491082045184304
83,25230.0,186.0,0.737217598097503
84,25230.0,162.0,0.6420927467300832
85,25230.0,162.0,0.6420927467300832
86,25230.0,156.0,0.6183115338882283
87,25230.0,186.0,0.737217598097503
88,25230.0,183.0,0.7253269916765755
89,25230.0,164.0,0.6500198176773682
90,25230.0,157.0,0.6222750693618708
91,25230.0,149.0,0.5905667855727309
92,25230.0,161.0,0.6381292112564407
93,25230.0,201.0,0.7966706302021404
94,25230.0,179.0,0.7094728497820055
95,25230.0,161.0,0.6381292112564407
96,25230.0,187.0,0.7411811335711455
97,25237.0,194.0,0.7687126045092523
98,25230.0,180.0,0.713436385255648
99,25230.0,161.0,0.6381292112564407
