,peak transmission
0,8.0
1,6.0
2,3.0
3,4.0
4,5.0
5,8.0
6,7.0
7,6.0
8,4.0
9,9.0
10,7.0
11,5.0
12,6.0
13,5.0
14,5.0
15,4.0
16,8.0
17,6.0
18,5.0
19,5.0
20,6.0
21,11.0
22,4.0
23,5.0
24,5.0
25,6.0
26,6.0
27,5.0
28,6.0
29,9.0
30,5.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,5.0
37,9.0
38,10.0
39,4.0
40,5.0
41,7.0
42,6.0
43,7.0
44,4.0
45,4.0
46,7.0
47,6.0
48,9.0
49,7.0
50,7.0
51,9.0
52,7.0
53,6.0
54,5.0
55,5.0
56,4.0
57,6.0
58,6.0
59,7.0
60,5.0
61,4.0
62,9.0
63,5.0
64,5.0
65,8.0
66,5.0
67,9.0
68,6.0
69,4.0
70,6.0
71,6.0
72,10.0
73,6.0
74,6.0
75,3.0
76,6.0
77,8.0
78,5.0
79,7.0
80,5.0
81,10.0
82,9.0
83,5.0
84,7.0
85,6.0
86,4.0
87,5.0
88,5.0
89,7.0
90,8.0
91,4.0
92,6.0
93,10.0
94,5.0
95,5.0
96,7.0
97,11.0
98,5.0
99,6.0
