,trans_prev,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,4.5871559633026994e-05,0.0,0.0
62,0.000176489894364045,0.0,0.0019811320754716255
63,0.000175669689054917,0.0,0.0022925764192139176
64,0.00025939970719508,0.0,0.004373664529914486
65,0.000752990407636643,0.0,0.004466634776369265
66,0.00042200408248056894,0.0,0.004358908635224409
67,0.0006628067331558109,0.0,0.008252551020408122
68,0.001118438811100094,0.0,0.00839106125606576
69,0.0008308002234998699,0.0,0.0082304526748971
70,0.001464999803437973,0.0,0.011081269080650685
71,0.0033779026518837114,0.0,0.01615410611693135
72,0.002911608155261054,0.0,0.015490148263753351
73,0.004202827325704731,0.0,0.018601254403299176
74,0.006330101213130659,0.0,0.028660129088065957
75,0.005768020341689262,0.0,0.027284112595419765
76,0.006301026735283702,0.0,0.02335907335907328
77,0.008749244839975663,0.0,0.03414820473643997
78,0.007121711838034852,0.0,0.03177402056652568
79,0.008289882645067114,0.0,0.029712371946414434
80,0.013530507018412765,0.0,0.03558940707757201
81,0.011587614384001809,0.0,0.030994729907773324
82,0.012385517008240336,0.0,0.033753447324875854
83,0.01682193587428063,0.0,0.04136664036299065
84,0.013775060319813561,0.0,0.0369184196422589
85,0.014126958877654446,0.0,0.035614657210401815
86,0.018788166927133917,0.0,0.04039500227760777
87,0.01595855743937336,0.0,0.0365853658536585
88,0.015938068648000358,0.0,0.03636200930676523
89,0.019644185383415197,0.003338628762541755,0.04034347149146349
90,0.01654122324256524,0.0015780730897009853,0.0353356890459364
91,0.015733479583682607,0.0,0.031547706692188704
92,0.01851032464632618,0.0033055209494458923,0.04087069681292704
93,0.015356461142107982,0.0032036001972710524,0.034457302046501624
94,0.014317368089515446,0.0014393939393939252,0.03344096455419481
95,0.016350618929700488,0.00314893258204038,0.03420775993883788
96,0.013977043556201012,0.0,0.029780786131211268
97,0.012937639042193945,0.0,0.027787409975993552
98,0.015172264270269076,0.0032303106860984,0.033949746778111634
99,0.012661533287197841,0.0,0.02956967608989626
100,0.011777047477576092,0.0,0.025563449289563903
101,0.01352264361452094,0.001470588235294098,0.027895908621579712
102,0.011706842430573119,0.0,0.027216927798417008
103,0.011140334618518656,0.0,0.02474495848161324
104,0.012106810257203195,0.0015322580645161278,0.030314608015418562
105,0.010278146134646358,0.0,0.02667213332742338
106,0.009488031367525707,0.0,0.02368055555555552
107,0.010628522958086641,0.0,0.02787716159809176
108,0.009110578814698731,0.0,0.024538931689230277
109,0.008194881755140574,0.0,0.02367318671666489
110,0.009462102836531696,0.0,0.02783410361265025
111,0.00789787900494599,0.0,0.023079899339414865
112,0.007531632954660386,0.0,0.020349676540687728
113,0.008208155183619737,0.0,0.026835036496350318
114,0.006916356051888357,0.0,0.023682613296812732
115,0.007000062501572949,0.0,0.02415955897649257
116,0.007666263164739681,0.0,0.023936735416723365
117,0.006564931272692011,0.0,0.018442428272848133
118,0.005674722762431097,0.0,0.017928337763238527
119,0.006245802818324501,0.0,0.02232618116727108
120,0.005277748745696265,0.0,0.018783768149476403
121,0.004699314101703387,0.0,0.02021685489228428
122,0.005311208049869708,0.0,0.022760416666666578
123,0.004472338710899781,0.0,0.016402656279082037
124,0.003952247811124864,0.0,0.016610442253824513
125,0.004217575947007321,0.0,0.020668162199000382
126,0.0033583485880356815,0.0,0.01503095716198117
127,0.0031491591484679345,0.0,0.013281249999999974
128,0.0034089631417842277,0.0,0.014343388697520495
129,0.0030821281434480173,0.0,0.012852622890682302
130,0.0027774127072282885,0.0,0.012607912716487426
131,0.003025189589998541,0.0,0.016296492301585898
132,0.002627958742396756,0.0,0.014379192092389833
133,0.0023741449773847685,0.0,0.010497266610597097
134,0.002771991149408568,0.0,0.012363614800758956
135,0.0021699405050436046,0.0,0.010982852224576244
136,0.002071044434565877,0.0,0.010181142317677555
137,0.0023661082045742295,0.0,0.009073799827224479
138,0.001945330614253216,0.0,0.00871292372881352
139,0.001882637253929516,0.0,0.011452733709190983
140,0.002240311088903957,0.0,0.01198006310958116
141,0.001976478778625816,0.0,0.011697090831712033
142,0.0019852642891821344,0.0,0.012028097288266214
