,Total_Transmission_counts,Patient_transmission_counts,hcw_transmission_count
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,1.0,1.0,0.0
64,0.0,0.0,0.0
65,1.0,0.0,1.0
66,2.0,0.0,2.0
67,2.0,1.0,1.0
68,3.0,2.0,1.0
69,2.0,1.0,1.0
70,4.0,3.0,1.0
71,6.0,1.0,5.0
72,3.0,2.0,1.0
73,5.0,5.0,0.0
74,10.0,4.0,6.0
75,5.0,2.0,3.0
76,6.0,4.0,2.0
77,11.0,4.0,7.0
78,12.0,4.0,8.0
79,5.0,4.0,1.0
80,11.0,10.0,1.0
81,12.0,4.0,8.0
82,10.0,4.0,6.0
83,10.0,4.0,6.0
84,11.0,5.0,6.0
85,14.0,9.0,5.0
86,15.0,7.0,8.0
87,20.0,7.0,13.0
88,12.0,6.0,6.0
89,23.0,12.0,11.0
90,14.0,6.0,8.0
91,13.0,9.0,4.0
92,17.0,10.0,7.0
93,10.0,7.0,3.0
94,14.0,5.0,9.0
95,15.0,7.0,8.0
96,9.0,4.0,5.0
97,12.0,7.0,5.0
98,17.0,4.0,13.0
99,17.0,9.0,8.0
100,8.0,4.0,4.0
101,12.0,7.0,5.0
102,15.0,8.0,7.0
103,15.0,8.0,7.0
104,15.0,8.0,7.0
105,11.0,3.0,8.0
106,6.0,3.0,3.0
107,9.0,6.0,3.0
108,3.0,1.0,2.0
109,9.0,6.0,3.0
110,6.0,4.0,2.0
111,4.0,1.0,3.0
112,9.0,2.0,7.0
113,7.0,3.0,4.0
114,5.0,4.0,1.0
115,3.0,1.0,2.0
116,5.0,2.0,3.0
117,8.0,3.0,5.0
118,3.0,1.0,2.0
119,4.0,3.0,1.0
120,8.0,6.0,2.0
121,2.0,2.0,0.0
122,2.0,1.0,1.0
123,3.0,0.0,3.0
124,1.0,1.0,0.0
125,2.0,1.0,1.0
126,3.0,2.0,1.0
127,4.0,1.0,3.0
128,2.0,0.0,2.0
129,3.0,3.0,0.0
130,3.0,2.0,1.0
131,6.0,3.0,3.0
132,7.0,2.0,5.0
133,3.0,1.0,2.0
134,4.0,2.0,2.0
135,6.0,2.0,4.0
136,1.0,0.0,1.0
137,2.0,2.0,0.0
138,6.0,4.0,2.0
139,4.0,2.0,2.0
140,6.0,1.0,5.0
141,9.0,4.0,5.0
142,5.0,3.0,2.0
143,4.0,2.0,2.0
144,3.0,1.0,2.0
145,2.0,0.0,2.0
146,4.0,3.0,1.0
147,1.0,0.0,1.0
148,0.0,0.0,0.0
149,4.0,2.0,2.0
150,0.0,0.0,0.0
151,2.0,0.0,2.0
152,0.0,0.0,0.0
153,3.0,3.0,0.0
154,1.0,1.0,0.0
155,4.0,2.0,2.0
156,1.0,1.0,0.0
157,4.0,0.0,4.0
158,4.0,1.0,3.0
159,6.0,4.0,2.0
160,2.0,1.0,1.0
161,5.0,3.0,2.0
162,6.0,2.0,4.0
163,1.0,1.0,0.0
164,1.0,0.0,1.0
165,2.0,1.0,1.0
166,1.0,1.0,0.0
167,3.0,2.0,1.0
168,3.0,1.0,2.0
169,0.0,0.0,0.0
170,1.0,0.0,1.0
171,1.0,0.0,1.0
172,2.0,1.0,1.0
173,1.0,1.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,1.0,0.0,1.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,1.0,1.0,0.0
180,1.0,0.0,1.0
181,0.0,0.0,0.0
182,1.0,0.0,1.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,2.0,2.0,0.0
201,0.0,0.0,0.0
202,1.0,1.0,0.0
203,3.0,0.0,3.0
204,1.0,1.0,0.0
205,2.0,1.0,1.0
