,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,3
77,3
78,4
79,4
80,6
81,9
82,12
83,14
84,14
85,21
86,28
87,33
88,39
89,46
90,53
91,56
92,58
93,61
94,65
95,68
96,71
97,75
98,80
99,88
100,91
101,96
102,102
103,108
104,111
105,119
106,119
107,122
108,124
109,132
110,138
111,142
112,147
113,149
114,155
115,158
116,163
117,166
118,168
119,176
120,176
121,179
122,184
123,187
124,189
125,189
126,190
127,190
128,190
129,191
130,191
131,191
132,194
133,194
134,195
135,195
136,195
137,195
138,197
139,197
140,197
141,197
142,199
143,199
144,199
145,199
146,200
147,200
148,201
149,201
150,201
151,202
152,202
153,203
154,204
155,204
156,205
157,205
158,205
159,205
160,205
161,205
162,205
163,205
164,205
165,205
166,205
167,205
168,205
169,205
170,205
171,205
172,205
173,205
174,205
175,205
176,205
177,205
178,205
179,205
180,205
181,205
182,205
183,205
184,205
185,205
186,205
187,205
188,205
189,205
190,205
191,205
192,205
193,205
194,205
195,205
196,205
197,205
198,205
199,205
200,205
201,205
202,205
203,205
204,205
205,205
206,205
207,205
208,205
209,205
210,205
211,205
212,205
213,205
214,205
215,205
216,205
217,205
218,205
219,205
220,205
221,205
222,205
223,205
224,205
225,205
226,205
227,205
228,205
229,205
230,205
231,205
232,205
233,205
234,205
235,205
236,206
237,207
238,210
