,peak transmission
0,6.0
1,6.0
2,6.0
3,14.0
4,8.0
5,8.0
6,7.0
7,8.0
8,5.0
9,7.0
10,6.0
11,6.0
12,7.0
13,6.0
14,8.0
15,5.0
16,7.0
17,8.0
18,6.0
19,5.0
20,6.0
21,8.0
22,6.0
23,7.0
24,6.0
25,5.0
26,8.0
27,7.0
28,7.0
29,6.0
30,10.0
31,6.0
32,10.0
33,5.0
34,7.0
35,7.0
36,5.0
37,7.0
38,7.0
39,11.0
40,6.0
41,5.0
42,5.0
43,6.0
44,7.0
45,8.0
46,6.0
47,10.0
48,6.0
49,10.0
50,8.0
51,10.0
52,9.0
53,7.0
54,7.0
55,8.0
56,6.0
57,10.0
58,8.0
59,6.0
60,7.0
61,8.0
62,8.0
63,9.0
64,7.0
65,11.0
66,8.0
67,9.0
68,7.0
69,7.0
70,8.0
71,10.0
72,12.0
73,8.0
74,9.0
75,6.0
76,6.0
77,8.0
78,6.0
79,7.0
80,7.0
81,7.0
82,9.0
83,10.0
84,7.0
85,6.0
86,8.0
87,8.0
88,10.0
89,7.0
90,7.0
91,9.0
92,7.0
93,6.0
94,6.0
95,5.0
96,7.0
97,8.0
98,8.0
99,6.0
