,peak transmission
0,8.0
1,6.0
2,7.0
3,14.0
4,7.0
5,6.0
6,9.0
7,10.0
8,6.0
9,10.0
10,7.0
11,8.0
12,10.0
13,9.0
14,13.0
15,6.0
16,10.0
17,14.0
18,7.0
19,10.0
20,6.0
21,7.0
22,8.0
23,8.0
24,8.0
25,8.0
26,8.0
27,8.0
28,9.0
29,8.0
30,9.0
31,6.0
32,7.0
33,5.0
34,10.0
35,7.0
36,8.0
37,7.0
38,9.0
39,7.0
40,7.0
41,8.0
42,4.0
43,5.0
44,7.0
45,10.0
46,7.0
47,6.0
48,7.0
49,11.0
50,7.0
51,12.0
52,10.0
53,11.0
54,6.0
55,11.0
56,6.0
57,11.0
58,10.0
59,9.0
60,6.0
61,6.0
62,10.0
63,10.0
64,9.0
65,11.0
66,7.0
67,8.0
68,7.0
69,7.0
70,11.0
71,10.0
72,8.0
73,7.0
74,8.0
75,6.0
76,9.0
77,11.0
78,9.0
79,10.0
80,9.0
81,9.0
82,9.0
83,9.0
84,8.0
85,7.0
86,9.0
87,9.0
88,7.0
89,6.0
90,10.0
91,13.0
92,9.0
93,8.0
94,11.0
95,7.0
96,8.0
97,6.0
98,8.0
99,9.0
