,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
19,316.0,117.0,34.0,96.0,11.0,16.0,38.0,4.0,0.0,133.0,235.0,81.0,0.0,1.0,9873.0,9714.0,259.0,248.0,29.0,39.0,134.0,37.0253164556962,10.759493670886076,30.379746835443036,3.481012658227848,5.063291139240507,12.025316455696203,1.2658227848101267,0.0
20,291.0,98.0,30.0,101.0,8.0,12.0,34.0,7.0,1.0,140.0,220.0,71.0,1.0,3.0,9927.0,9765.0,254.0,214.0,36.0,41.0,135.0,33.67697594501718,10.309278350515465,34.707903780068726,2.7491408934707904,4.123711340206185,11.683848797250858,2.4054982817869415,0.3436426116838488
21,344.0,131.0,53.0,107.0,5.0,19.0,26.0,2.0,1.0,117.0,276.0,68.0,1.0,3.0,9778.0,9616.0,285.0,272.0,28.0,44.0,133.0,38.08139534883721,15.406976744186046,31.1046511627907,1.4534883720930232,5.523255813953488,7.558139534883721,0.5813953488372093,0.29069767441860467
22,292.0,105.0,30.0,101.0,8.0,23.0,20.0,5.0,0.0,110.0,213.0,79.0,0.0,2.0,9848.0,9688.0,237.0,234.0,21.0,37.0,121.0,35.95890410958904,10.273972602739725,34.58904109589041,2.73972602739726,7.876712328767123,6.8493150684931505,1.7123287671232876,0.0
23,257.0,68.0,32.0,91.0,8.0,13.0,38.0,7.0,0.0,129.0,202.0,55.0,0.0,2.0,9899.0,9739.0,199.0,203.0,24.0,30.0,129.0,26.459143968871594,12.45136186770428,35.40856031128405,3.11284046692607,5.058365758754864,14.785992217898833,2.7237354085603114,0.0
24,376.0,132.0,50.0,114.0,8.0,13.0,47.0,11.0,1.0,113.0,278.0,98.0,1.0,1.0,9843.0,9683.0,259.0,286.0,32.0,58.0,161.0,35.1063829787234,13.297872340425531,30.319148936170212,2.127659574468085,3.4574468085106385,12.5,2.925531914893617,0.26595744680851063
25,282.0,101.0,34.0,87.0,5.0,14.0,36.0,4.0,1.0,122.0,210.0,72.0,0.0,3.0,9833.0,9672.0,215.0,214.0,24.0,44.0,123.0,35.815602836879435,12.056737588652481,30.851063829787233,1.7730496453900708,4.964539007092198,12.76595744680851,1.4184397163120568,0.3546099290780142
26,326.0,106.0,41.0,114.0,6.0,19.0,33.0,5.0,2.0,132.0,251.0,75.0,0.0,1.0,9904.0,9745.0,261.0,264.0,19.0,43.0,147.0,32.515337423312886,12.576687116564417,34.969325153374236,1.8404907975460123,5.828220858895706,10.122699386503067,1.5337423312883436,0.6134969325153374
27,263.0,88.0,31.0,90.0,7.0,15.0,29.0,3.0,0.0,142.0,213.0,50.0,1.0,2.0,9868.0,9707.0,242.0,194.0,24.0,45.0,119.0,33.460076045627375,11.787072243346008,34.22053231939164,2.661596958174905,5.7034220532319395,11.02661596958175,1.1406844106463878,0.0
28,300.0,107.0,31.0,102.0,10.0,19.0,23.0,8.0,0.0,122.0,223.0,77.0,2.0,4.0,9827.0,9663.0,258.0,248.0,25.0,27.0,125.0,35.666666666666664,10.333333333333334,34.0,3.3333333333333335,6.333333333333333,7.666666666666667,2.6666666666666665,0.0
29,267.0,96.0,39.0,93.0,1.0,9.0,25.0,3.0,1.0,125.0,201.0,66.0,2.0,1.0,9656.0,9495.0,228.0,204.0,22.0,41.0,118.0,35.95505617977528,14.606741573033707,34.831460674157306,0.37453183520599254,3.3707865168539324,9.363295880149813,1.1235955056179776,0.37453183520599254
30,274.0,87.0,36.0,87.0,6.0,24.0,24.0,9.0,1.0,123.0,200.0,74.0,1.0,3.0,10103.0,9941.0,243.0,212.0,24.0,38.0,111.0,31.751824817518248,13.138686131386862,31.751824817518248,2.18978102189781,8.75912408759124,8.75912408759124,3.2846715328467155,0.36496350364963503
31,270.0,100.0,27.0,97.0,5.0,13.0,21.0,6.0,1.0,116.0,205.0,65.0,0.0,3.0,9884.0,9723.0,210.0,210.0,25.0,35.0,118.0,37.03703703703704,10.0,35.925925925925924,1.8518518518518519,4.814814814814815,7.777777777777778,2.2222222222222223,0.37037037037037035
32,322.0,120.0,38.0,105.0,7.0,12.0,36.0,3.0,1.0,122.0,254.0,68.0,1.0,7.0,9998.0,9832.0,249.0,257.0,21.0,44.0,141.0,37.267080745341616,11.801242236024844,32.608695652173914,2.1739130434782608,3.7267080745341614,11.180124223602485,0.9316770186335404,0.3105590062111801
33,335.0,119.0,31.0,125.0,5.0,17.0,30.0,7.0,1.0,144.0,259.0,76.0,0.0,2.0,10106.0,9946.0,280.0,265.0,29.0,41.0,155.0,35.52238805970149,9.253731343283581,37.3134328358209,1.492537313432836,5.074626865671642,8.955223880597014,2.08955223880597,0.29850746268656714
34,283.0,98.0,35.0,103.0,5.0,16.0,18.0,8.0,0.0,120.0,202.0,81.0,2.0,4.0,9857.0,9693.0,232.0,229.0,24.0,30.0,121.0,34.628975265017665,12.36749116607774,36.39575971731449,1.7667844522968197,5.6537102473498235,6.360424028268551,2.8268551236749118,0.0
35,208.0,64.0,25.0,54.0,4.0,16.0,42.0,3.0,0.0,120.0,147.0,61.0,0.0,3.0,9743.0,9582.0,186.0,166.0,26.0,16.0,96.0,30.76923076923077,12.01923076923077,25.96153846153846,1.9230769230769231,7.6923076923076925,20.192307692307693,1.4423076923076923,0.0
36,273.0,96.0,28.0,96.0,4.0,16.0,29.0,4.0,0.0,114.0,200.0,73.0,1.0,3.0,9969.0,9807.0,214.0,228.0,22.0,23.0,125.0,35.16483516483517,10.256410256410257,35.16483516483517,1.465201465201465,5.86080586080586,10.622710622710622,1.465201465201465,0.0
37,260.0,93.0,30.0,98.0,4.0,14.0,17.0,3.0,1.0,120.0,203.0,57.0,1.0,1.0,9815.0,9655.0,222.0,213.0,23.0,24.0,115.0,35.76923076923077,11.538461538461538,37.69230769230769,1.5384615384615385,5.384615384615385,6.538461538461538,1.1538461538461537,0.38461538461538464
38,334.0,127.0,40.0,111.0,6.0,17.0,23.0,9.0,1.0,123.0,249.0,85.0,1.0,2.0,9822.0,9661.0,273.0,253.0,33.0,48.0,134.0,38.02395209580838,11.976047904191617,33.23353293413174,1.7964071856287425,5.089820359281437,6.88622754491018,2.694610778443114,0.2994011976047904
39,299.0,106.0,35.0,89.0,14.0,17.0,27.0,8.0,3.0,114.0,218.0,81.0,0.0,2.0,9810.0,9650.0,256.0,236.0,34.0,29.0,116.0,35.45150501672241,11.705685618729097,29.765886287625417,4.682274247491639,5.68561872909699,9.03010033444816,2.6755852842809364,1.0033444816053512
40,313.0,111.0,47.0,97.0,4.0,16.0,31.0,6.0,1.0,131.0,230.0,83.0,1.0,5.0,10050.0,9886.0,268.0,242.0,32.0,39.0,128.0,35.46325878594249,15.015974440894569,30.990415335463258,1.2779552715654952,5.111821086261981,9.904153354632587,1.9169329073482428,0.3194888178913738
41,292.0,113.0,24.0,99.0,9.0,14.0,29.0,3.0,1.0,126.0,218.0,74.0,2.0,3.0,10080.0,9917.0,246.0,215.0,31.0,46.0,128.0,38.6986301369863,8.219178082191782,33.9041095890411,3.0821917808219177,4.794520547945205,9.931506849315069,1.0273972602739727,0.3424657534246575
42,267.0,88.0,28.0,95.0,7.0,17.0,28.0,4.0,0.0,126.0,203.0,64.0,1.0,3.0,10031.0,9869.0,209.0,215.0,21.0,31.0,123.0,32.95880149812734,10.486891385767791,35.58052434456929,2.6217228464419478,6.367041198501872,10.486891385767791,1.4981273408239701,0.0
43,296.0,106.0,35.0,91.0,6.0,21.0,31.0,6.0,0.0,112.0,228.0,68.0,0.0,3.0,9785.0,9624.0,231.0,219.0,23.0,54.0,122.0,35.810810810810814,11.824324324324325,30.743243243243242,2.027027027027027,7.094594594594595,10.472972972972974,2.027027027027027,0.0
44,369.0,127.0,48.0,99.0,11.0,15.0,57.0,9.0,3.0,131.0,269.0,100.0,3.0,5.0,10005.0,9839.0,290.0,288.0,40.0,41.0,156.0,34.417344173441734,13.008130081300813,26.829268292682926,2.9810298102981028,4.065040650406504,15.447154471544716,2.4390243902439024,0.8130081300813008
45,335.0,120.0,31.0,136.0,10.0,15.0,15.0,8.0,0.0,119.0,261.0,74.0,3.0,2.0,9886.0,9723.0,258.0,268.0,21.0,46.0,151.0,35.82089552238806,9.253731343283581,40.59701492537314,2.985074626865672,4.477611940298507,4.477611940298507,2.388059701492537,0.0
46,302.0,97.0,48.0,95.0,2.0,16.0,33.0,9.0,2.0,116.0,227.0,75.0,0.0,5.0,9949.0,9786.0,239.0,237.0,26.0,39.0,128.0,32.11920529801324,15.894039735099337,31.456953642384107,0.6622516556291391,5.298013245033113,10.927152317880795,2.980132450331126,0.6622516556291391
47,260.0,90.0,33.0,83.0,4.0,19.0,20.0,9.0,2.0,135.0,178.0,82.0,1.0,1.0,10040.0,9880.0,229.0,195.0,29.0,36.0,103.0,34.61538461538461,12.692307692307692,31.923076923076923,1.5384615384615385,7.3076923076923075,7.6923076923076925,3.4615384615384617,0.7692307692307693
48,212.0,81.0,27.0,58.0,7.0,7.0,26.0,6.0,0.0,121.0,151.0,61.0,0.0,0.0,9945.0,9787.0,210.0,159.0,27.0,26.0,84.0,38.20754716981132,12.735849056603774,27.358490566037737,3.30188679245283,3.30188679245283,12.264150943396226,2.830188679245283,0.0
49,275.0,102.0,33.0,85.0,5.0,15.0,28.0,4.0,3.0,135.0,199.0,76.0,0.0,1.0,10007.0,9848.0,231.0,201.0,35.0,39.0,113.0,37.09090909090909,12.0,30.90909090909091,1.8181818181818181,5.454545454545454,10.181818181818182,1.4545454545454546,1.0909090909090908
50,207.0,66.0,29.0,66.0,5.0,13.0,21.0,5.0,2.0,133.0,148.0,59.0,0.0,2.0,9671.0,9511.0,184.0,130.0,24.0,53.0,87.0,31.884057971014492,14.009661835748792,31.884057971014492,2.4154589371980677,6.280193236714976,10.144927536231885,2.4154589371980677,0.966183574879227
51,335.0,111.0,44.0,112.0,10.0,14.0,34.0,8.0,2.0,123.0,261.0,74.0,1.0,0.0,9723.0,9564.0,257.0,267.0,22.0,46.0,146.0,33.134328358208954,13.134328358208956,33.43283582089552,2.985074626865672,4.17910447761194,10.149253731343284,2.388059701492537,0.5970149253731343
52,265.0,86.0,35.0,80.0,5.0,16.0,34.0,8.0,1.0,129.0,188.0,77.0,2.0,2.0,9736.0,9574.0,235.0,196.0,25.0,44.0,114.0,32.45283018867924,13.20754716981132,30.18867924528302,1.8867924528301887,6.037735849056604,12.830188679245284,3.018867924528302,0.37735849056603776
53,255.0,90.0,33.0,82.0,5.0,8.0,30.0,5.0,2.0,130.0,185.0,70.0,1.0,2.0,9877.0,9716.0,209.0,181.0,33.0,41.0,112.0,35.294117647058826,12.941176470588236,32.15686274509804,1.9607843137254901,3.1372549019607843,11.764705882352942,1.9607843137254901,0.7843137254901961
54,304.0,109.0,36.0,103.0,7.0,9.0,24.0,12.0,4.0,101.0,221.0,83.0,1.0,1.0,9914.0,9754.0,233.0,235.0,32.0,37.0,127.0,35.85526315789474,11.842105263157896,33.88157894736842,2.3026315789473686,2.960526315789474,7.894736842105263,3.9473684210526314,1.3157894736842106
55,306.0,108.0,31.0,108.0,6.0,13.0,33.0,6.0,1.0,118.0,244.0,62.0,0.0,2.0,9903.0,9743.0,229.0,245.0,26.0,35.0,141.0,35.294117647058826,10.130718954248366,35.294117647058826,1.9607843137254901,4.248366013071895,10.784313725490197,1.9607843137254901,0.32679738562091504
