,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_nrow,total_counts
0,0.312,0.2777777777777778,0.6729559748427673,0.33766233766233766,78.0,5.0,268,107.0,26.0,236,216.0
1,0.29583333333333334,0.21739130434782608,0.6973684210526315,0.36507936507936506,71.0,5.0,263,106.0,23.0,215,205.0
2,0.27350427350427353,0.3125,0.6196319018404908,0.3142857142857143,64.0,5.0,250,101.0,22.0,233,192.0
3,0.2846153846153846,0.4722222222222222,0.7268041237113402,0.3466666666666667,74.0,17.0,296,141.0,26.0,269,258.0
4,0.2923076923076923,0.5909090909090909,0.6857142857142857,0.39473684210526316,76.0,13.0,282,120.0,30.0,251,239.0
5,0.2620967741935484,0.24,0.7933333333333333,0.2714285714285714,65.0,6.0,273,119.0,19.0,220,209.0
6,0.34220532319391633,0.1875,0.7317073170731707,0.35064935064935066,90.0,3.0,279,120.0,27.0,241,240.0
7,0.30833333333333335,0.3076923076923077,0.6163522012578616,0.25,74.0,4.0,253,98.0,18.0,231,194.0
8,0.21888412017167383,0.0,0.6842105263157895,0.3142857142857143,51.0,0.0,253,91.0,22.0,203,164.0
9,0.29959514170040485,0.19230769230769232,0.8013245033112583,0.3,74.0,5.0,273,121.0,18.0,211,218.0
10,0.3951048951048951,0.24,0.9171597633136095,0.35051546391752575,113.0,6.0,311,155.0,34.0,266,308.0
11,0.1902654867256637,0.043478260869565216,0.6710526315789473,0.32786885245901637,43.0,1.0,249,102.0,20.0,213,166.0
12,0.2318181818181818,0.19230769230769232,0.6180555555555556,0.234375,51.0,5.0,246,89.0,15.0,208,160.0
13,0.2794759825327511,0.13043478260869565,0.6293706293706294,0.3870967741935484,64.0,3.0,252,90.0,24.0,205,181.0
14,0.2903225806451613,0.2727272727272727,0.7662337662337663,0.25,72.0,6.0,270,118.0,18.0,226,214.0
15,0.2803347280334728,0.5833333333333334,0.6503067484662577,0.2542372881355932,67.0,14.0,263,106.0,15.0,222,202.0
16,0.27125506072874495,0.24,0.656441717791411,0.35064935064935066,67.0,6.0,272,107.0,27.0,240,207.0
17,0.29118773946360155,0.21875,0.8181818181818182,0.2647058823529412,76.0,7.0,293,144.0,18.0,244,245.0
18,0.30708661417322836,0.2608695652173913,0.7368421052631579,0.34065934065934067,78.0,6.0,277,112.0,31.0,243,227.0
19,0.23786407766990292,0.09090909090909091,0.5746268656716418,0.18333333333333332,49.0,2.0,228,77.0,11.0,194,139.0
20,0.2661290322580645,0.24,0.7058823529411765,0.4107142857142857,66.0,6.0,273,108.0,23.0,209,203.0
21,0.27312775330396477,0.5714285714285714,0.6666666666666666,0.2564102564102564,62.0,16.0,255,96.0,20.0,222,194.0
22,0.2868217054263566,0.4444444444444444,0.656441717791411,0.359375,74.0,8.0,276,107.0,23.0,227,212.0
23,0.25390625,0.2692307692307692,0.8363636363636363,0.352112676056338,65.0,7.0,282,138.0,25.0,236,235.0
24,0.2798507462686567,0.39285714285714285,0.8875,0.3384615384615385,75.0,11.0,296,142.0,22.0,225,250.0
25,0.35,0.11538461538461539,0.7068965517241379,0.3835616438356164,91.0,3.0,286,123.0,28.0,247,245.0
26,0.26171875,0.37037037037037035,0.6802325581395349,0.41935483870967744,67.0,10.0,283,117.0,39.0,265,233.0
27,0.22943722943722944,0.18181818181818182,0.6645569620253164,0.2112676056338028,53.0,4.0,253,105.0,15.0,229,177.0
28,0.301255230125523,0.23809523809523808,0.6484848484848484,0.323943661971831,72.0,5.0,260,107.0,23.0,236,207.0
29,0.27800829875518673,0.10526315789473684,0.7297297297297297,0.22077922077922077,67.0,2.0,260,108.0,17.0,225,194.0
30,0.32196969696969696,0.2916666666666667,0.7784431137724551,0.35135135135135137,85.0,7.0,288,130.0,26.0,241,248.0
31,0.27530364372469635,0.46153846153846156,0.75,0.3492063492063492,68.0,12.0,273,114.0,22.0,215,216.0
32,0.18552036199095023,0.38095238095238093,0.674074074074074,0.22448979591836735,41.0,8.0,242,91.0,11.0,184,151.0
33,0.34523809523809523,0.1111111111111111,0.738562091503268,0.3142857142857143,87.0,3.0,279,113.0,33.0,258,236.0
34,0.2231404958677686,0.2777777777777778,0.6903225806451613,0.3287671232876712,54.0,5.0,260,107.0,24.0,228,190.0
35,0.22119815668202766,0.2692307692307692,0.5511811023622047,0.4,48.0,7.0,243,70.0,28.0,197,153.0
36,0.24279835390946503,0.65,0.6896551724137931,0.39285714285714285,59.0,13.0,263,100.0,33.0,229,205.0
37,0.24017467248908297,0.3333333333333333,0.6012658227848101,0.234375,55.0,4.0,241,95.0,15.0,222,169.0
38,0.32158590308370044,0.2631578947368421,0.6358024691358025,0.21428571428571427,73.0,5.0,246,103.0,15.0,232,196.0
