,peak transmission
0,5.0
1,6.0
2,5.0
3,8.0
4,6.0
5,8.0
6,8.0
7,8.0
8,5.0
9,7.0
10,9.0
11,5.0
12,5.0
13,4.0
14,6.0
15,6.0
16,7.0
17,6.0
18,8.0
19,5.0
20,8.0
21,4.0
22,6.0
23,6.0
24,7.0
25,9.0
26,7.0
27,6.0
28,7.0
29,6.0
30,8.0
31,7.0
32,6.0
33,7.0
34,7.0
35,4.0
36,5.0
37,5.0
38,6.0
39,4.0
40,10.0
41,8.0
42,6.0
43,5.0
44,5.0
45,8.0
46,6.0
47,8.0
48,8.0
49,6.0
50,6.0
51,6.0
52,6.0
53,6.0
54,8.0
55,6.0
56,4.0
57,4.0
58,7.0
59,5.0
60,6.0
61,5.0
62,6.0
63,7.0
64,5.0
65,6.0
66,8.0
67,6.0
68,7.0
69,8.0
70,6.0
71,6.0
72,5.0
73,7.0
74,7.0
75,7.0
76,5.0
77,7.0
78,6.0
79,5.0
80,6.0
81,7.0
82,8.0
83,5.0
84,7.0
85,7.0
86,5.0
87,7.0
88,7.0
89,6.0
90,4.0
91,5.0
92,6.0
93,5.0
94,7.0
95,6.0
96,6.0
97,5.0
98,5.0
99,5.0
