,total_prev,nosocomial_prev
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.00392156862745098,0.0
60,0.0038314176245210726,0.0
61,0.003875968992248062,0.0
62,0.004048582995951417,0.0
63,0.004048582995951417,0.0
64,0.004149377593360996,0.0
65,0.004,0.0
66,0.012195121951219513,0.008130081300813009
67,0.0196078431372549,0.01568627450980392
68,0.015625,0.01171875
69,0.0199203187250996,0.01593625498007968
70,0.021551724137931036,0.017241379310344827
71,0.0228310502283105,0.0182648401826484
72,0.03418803418803419,0.029914529914529916
73,0.03070175438596491,0.02631578947368421
74,0.032407407407407406,0.027777777777777776
75,0.023809523809523808,0.01904761904761905
76,0.02336448598130841,0.018691588785046728
77,0.06167400881057269,0.03524229074889868
78,0.08,0.04888888888888889
79,0.09130434782608696,0.043478260869565216
80,0.11203319502074689,0.05394190871369295
81,0.1,0.044
82,0.11788617886178862,0.044715447154471545
83,0.1411764705882353,0.047058823529411764
84,0.15037593984962405,0.05263157894736842
85,0.16974169741697417,0.05904059040590406
86,0.19649122807017544,0.07368421052631578
87,0.2195945945945946,0.0777027027027027
88,0.2277580071174377,0.06761565836298933
89,0.2872340425531915,0.08865248226950355
90,0.2777777777777778,0.0798611111111111
91,0.2826855123674912,0.07420494699646643
92,0.2996632996632997,0.07744107744107744
93,0.2871287128712871,0.0627062706270627
94,0.29523809523809524,0.05714285714285714
95,0.288961038961039,0.05194805194805195
96,0.24610591900311526,0.037383177570093455
97,0.2364217252396166,0.03194888178913738
98,0.23344947735191637,0.027874564459930314
99,0.24390243902439024,0.027874564459930314
100,0.23024054982817868,0.024054982817869417
101,0.22413793103448276,0.02413793103448276
102,0.2222222222222222,0.025089605734767026
103,0.22433460076045628,0.022813688212927757
104,0.23773584905660378,0.026415094339622643
105,0.2209737827715356,0.02247191011235955
106,0.21897810218978103,0.021897810218978103
107,0.22058823529411764,0.025735294117647058
108,0.21481481481481482,0.025925925925925925
109,0.21153846153846154,0.03076923076923077
110,0.1947565543071161,0.03745318352059925
111,0.2153846153846154,0.05
112,0.18846153846153846,0.046153846153846156
113,0.16412213740458015,0.03816793893129771
114,0.1407942238267148,0.02888086642599278
115,0.13533834586466165,0.03007518796992481
116,0.11673151750972763,0.019455252918287938
117,0.11155378486055777,0.01195219123505976
118,0.10344827586206896,0.007662835249042145
119,0.09885931558935361,0.0038022813688212928
120,0.08058608058608059,0.003663003663003663
121,0.08363636363636363,0.0036363636363636364
122,0.07462686567164178,0.0037313432835820895
123,0.05734767025089606,0.0035842293906810036
124,0.0456140350877193,0.0
125,0.043478260869565216,0.0
126,0.04119850187265917,0.0
127,0.033962264150943396,0.0
128,0.03272727272727273,0.0
129,0.0353356890459364,0.0035335689045936395
130,0.03597122302158273,0.0035971223021582736
131,0.03296703296703297,0.003663003663003663
132,0.03202846975088968,0.0035587188612099642
133,0.03296703296703297,0.003663003663003663
134,0.033210332103321034,0.0036900369003690036
135,0.03076923076923077,0.0038461538461538464
136,0.027559055118110236,0.003937007874015748
137,0.03187250996015936,0.00398406374501992
138,0.027888446215139442,0.0
139,0.027237354085603113,0.0
140,0.027559055118110236,0.0
141,0.020242914979757085,0.0
142,0.017543859649122806,0.0
143,0.013392857142857142,0.0
144,0.02586206896551724,0.008620689655172414
145,0.018018018018018018,0.0045045045045045045
146,0.014150943396226415,0.0
147,0.014634146341463415,0.0
148,0.018957345971563982,0.0
149,0.0196078431372549,0.0
150,0.017777777777777778,0.0
151,0.017777777777777778,0.0
152,0.012605042016806723,0.0
153,0.012244897959183673,0.0
154,0.00823045267489712,0.0
155,0.012195121951219513,0.0
156,0.012295081967213115,0.0
157,0.008438818565400843,0.0
158,0.008298755186721992,0.0
159,0.00819672131147541,0.0
160,0.007722007722007722,0.0
161,0.007936507936507936,0.0
162,0.003861003861003861,0.0
163,0.003703703703703704,0.0
164,0.003787878787878788,0.0
165,0.003861003861003861,0.0
166,0.003861003861003861,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.004048582995951417,0.0
205,0.004166666666666667,0.0
206,0.004219409282700422,0.0
207,0.004291845493562232,0.0
208,0.004201680672268907,0.0
209,0.003968253968253968,0.0
210,0.0037735849056603774,0.0
211,0.0038910505836575876,0.0
212,0.004098360655737705,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.00390625,0.0
217,0.0038461538461538464,0.0
218,0.0038910505836575876,0.0
219,0.003937007874015748,0.0
220,0.004032258064516129,0.0
221,0.00411522633744856,0.0
222,0.004132231404958678,0.0
223,0.004329004329004329,0.0
224,0.008333333333333333,0.004166666666666667
225,0.008264462809917356,0.004132231404958678
226,0.004347826086956522,0.004347826086956522
227,0.01694915254237288,0.01694915254237288
228,0.016736401673640166,0.016736401673640166
229,0.004464285714285714,0.004464285714285714
230,0.00851063829787234,0.00851063829787234
231,0.004310344827586207,0.004310344827586207
232,0.004201680672268907,0.004201680672268907
233,0.004464285714285714,0.004464285714285714
234,0.0045662100456621,0.0045662100456621
235,0.008849557522123894,0.008849557522123894
236,0.009009009009009009,0.009009009009009009
237,0.0091324200913242,0.0091324200913242
238,0.014634146341463415,0.014634146341463415
