,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_nrow,total_counts
0,0.4552238805970149,0.39285714285714285,0.6931818181818182,0.33707865168539325,122.0,11.0,296,122.0,30.0,265,285.0
1,0.44569288389513106,0.4230769230769231,0.6818181818181818,0.30434782608695654,119.0,11.0,293,135.0,28.0,290,293.0
2,0.449438202247191,0.32142857142857145,0.6046511627906976,0.36363636363636365,120.0,9.0,295,130.0,32.0,303,291.0
3,0.4631578947368421,0.28125,0.6517857142857143,0.3508771929824561,132.0,9.0,317,146.0,40.0,338,327.0
4,0.5189003436426117,0.5,0.7454545454545455,0.4056603773584906,151.0,16.0,323,164.0,43.0,326,374.0
5,0.42857142857142855,0.3142857142857143,0.695,0.3925233644859813,111.0,11.0,294,139.0,42.0,307,303.0
6,0.5353535353535354,0.3333333333333333,0.7564102564102564,0.35106382978723405,159.0,12.0,333,177.0,33.0,328,381.0
7,0.4152542372881356,0.4230769230769231,0.6285714285714286,0.26506024096385544,98.0,11.0,262,110.0,22.0,258,241.0
8,0.3443223443223443,0.5714285714285714,0.7528089887640449,0.4,94.0,12.0,294,134.0,32.0,258,272.0
9,0.3675889328063241,0.375,0.5714285714285714,0.4625,93.0,9.0,277,104.0,37.0,262,243.0
10,0.4749034749034749,0.2608695652173913,0.6324324324324324,0.358695652173913,123.0,6.0,282,117.0,33.0,277,279.0
11,0.4235294117647059,0.35135135135135137,0.755,0.3170731707317073,108.0,13.0,292,151.0,26.0,282,298.0
12,0.47194719471947194,0.4838709677419355,0.8186274509803921,0.4594594594594595,143.0,15.0,334,167.0,51.0,315,376.0
13,0.33992094861660077,0.5277777777777778,0.6795580110497238,0.42528735632183906,86.0,19.0,289,123.0,37.0,268,265.0
14,0.35684647302904565,0.04,0.7039473684210527,0.3287671232876712,86.0,1.0,266,107.0,24.0,225,218.0
15,0.5314685314685315,0.5161290322580645,0.7255813953488373,0.32142857142857145,152.0,16.0,317,156.0,36.0,327,360.0
16,0.40875912408759124,0.4583333333333333,0.7604166666666666,0.3150684931506849,112.0,11.0,298,146.0,23.0,265,292.0
