,peak transmission
0,5.0
1,8.0
2,7.0
3,6.0
4,8.0
5,4.0
6,5.0
7,5.0
8,8.0
9,5.0
10,6.0
11,9.0
12,8.0
13,4.0
14,6.0
15,9.0
16,6.0
17,7.0
18,5.0
19,8.0
20,11.0
21,7.0
22,6.0
23,6.0
24,6.0
25,5.0
26,6.0
27,5.0
28,6.0
29,4.0
30,9.0
31,4.0
32,8.0
33,6.0
34,9.0
35,4.0
36,6.0
37,8.0
38,7.0
39,4.0
40,7.0
41,9.0
42,6.0
43,5.0
44,6.0
45,7.0
46,6.0
47,3.0
48,8.0
49,6.0
50,5.0
51,5.0
52,4.0
53,12.0
54,5.0
55,6.0
56,5.0
57,8.0
58,6.0
59,8.0
60,5.0
61,8.0
62,7.0
63,8.0
64,5.0
65,4.0
66,5.0
67,6.0
68,5.0
69,8.0
70,9.0
71,6.0
72,7.0
73,6.0
74,9.0
75,3.0
76,7.0
77,7.0
78,6.0
79,6.0
80,4.0
81,6.0
82,5.0
83,6.0
84,5.0
85,4.0
86,5.0
87,5.0
88,6.0
89,7.0
90,8.0
91,4.0
92,5.0
93,6.0
94,5.0
95,6.0
96,4.0
97,4.0
98,6.0
99,8.0
