,peak transmission
0,3.0
1,2.0
2,3.0
3,2.0
4,2.0
5,3.0
6,4.0
7,2.0
8,2.0
9,3.0
10,2.0
11,3.0
12,2.0
13,3.0
14,3.0
15,4.0
16,3.0
17,2.0
18,3.0
19,2.0
20,2.0
21,2.0
22,4.0
23,4.0
24,4.0
25,2.0
26,2.0
27,3.0
28,2.0
29,3.0
30,2.0
31,3.0
32,5.0
33,4.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,3.0
40,3.0
41,3.0
42,3.0
43,2.0
44,5.0
45,4.0
46,4.0
47,4.0
48,5.0
49,5.0
50,4.0
51,2.0
52,3.0
53,2.0
54,3.0
55,4.0
56,2.0
57,4.0
58,3.0
59,2.0
60,3.0
61,2.0
62,3.0
63,3.0
64,3.0
65,2.0
66,2.0
67,2.0
68,3.0
69,3.0
70,3.0
71,4.0
72,2.0
73,3.0
74,1.0
75,3.0
76,3.0
77,2.0
78,3.0
79,3.0
80,4.0
81,3.0
82,2.0
83,2.0
84,4.0
85,4.0
86,4.0
87,2.0
88,3.0
89,2.0
90,3.0
91,2.0
92,3.0
93,2.0
94,5.0
95,2.0
96,3.0
97,3.0
98,2.0
99,2.0
