,susceptible,exposed,mild,severe,recovered,asymptomatic
95,0.0,0.37,0.17,0.17,0.01,0.13
96,0.0,0.47,0.14,0.17,0.02,0.14
97,0.0,0.53,0.11,0.17,0.02,0.14
98,0.0,0.45,0.18,0.16,0.03,0.15
99,0.0,0.44,0.13,0.16,0.04,0.17
100,0.0,0.44,0.13,0.18,0.03,0.15
101,0.0,0.36,0.18,0.19,0.02,0.13
102,0.0,0.42,0.15,0.21,0.01,0.12
103,0.0,0.42,0.14,0.23,0.02,0.14
104,0.0,0.35,0.19,0.24,0.03,0.12
105,0.0,0.33,0.18,0.24,0.03,0.13
106,0.0,0.31,0.18,0.26,0.03,0.15
107,0.0,0.26,0.18,0.27,0.04,0.11
108,0.0,0.26,0.14,0.27,0.05,0.1
109,0.0,0.19,0.15,0.26,0.04,0.08
110,0.0,0.17,0.17,0.27,0.02,0.09
111,0.0,0.18,0.1,0.25,0.04,0.08
112,0.0,0.09,0.08,0.25,0.05,0.1
113,0.0,0.13,0.08,0.25,0.03,0.07
114,0.0,0.2,0.06,0.24,0.05,0.08
115,0.0,0.16,0.08,0.24,0.04,0.1
116,0.0,0.19,0.04,0.22,0.04,0.09
117,0.0,0.19,0.03,0.23,0.04,0.11
118,0.0,0.2,0.02,0.21,0.05,0.11
119,0.0,0.15,0.04,0.17,0.07,0.1
120,0.0,0.12,0.05,0.15,0.07,0.08
121,0.0,0.15,0.04,0.13,0.08,0.05
