,mean,ci_lower,ci_upper
214,0.1,0.0,1.4749999999999943
215,0.08,0.0,1.0
216,0.05,0.0,1.0
217,0.06,0.0,1.0
218,0.15,0.0,2.0
219,0.14,0.0,1.0
220,0.15,0.0,2.0
221,0.13,0.0,1.0
222,0.08,0.0,1.0
223,0.15,0.0,1.0
224,0.17,0.0,1.4749999999999943
225,0.17,0.0,2.0
226,0.14,0.0,2.0
227,0.14,0.0,1.0
228,0.2,0.0,2.0
229,0.11,0.0,1.0
230,0.2,0.0,1.0
231,0.24,0.0,2.0
232,0.11,0.0,1.0
233,0.18,0.0,2.0
234,0.22,0.0,2.0
235,0.24,0.0,2.0
236,0.15,0.0,1.4749999999999943
237,0.16,0.0,2.0
238,0.14,0.0,1.4749999999999943
