,peak transmission
0,20.0
1,18.0
2,14.0
3,19.0
4,15.0
5,13.0
6,14.0
7,20.0
8,14.0
9,16.0
10,20.0
11,11.0
12,11.0
13,21.0
14,11.0
15,17.0
16,8.0
17,12.0
18,13.0
19,12.0
20,11.0
21,10.0
22,10.0
23,15.0
24,14.0
25,13.0
26,10.0
27,16.0
28,19.0
29,14.0
30,10.0
31,15.0
32,17.0
33,16.0
34,10.0
35,13.0
36,15.0
37,19.0
38,22.0
39,14.0
40,16.0
41,17.0
42,16.0
43,16.0
44,14.0
45,15.0
46,12.0
47,15.0
48,12.0
49,21.0
50,7.0
51,11.0
52,18.0
53,11.0
54,15.0
55,8.0
56,15.0
57,14.0
58,16.0
59,14.0
60,13.0
61,13.0
62,14.0
63,9.0
64,12.0
65,14.0
66,15.0
67,14.0
68,12.0
69,20.0
70,13.0
71,16.0
72,15.0
73,20.0
74,15.0
75,13.0
76,13.0
77,12.0
78,13.0
79,14.0
80,10.0
81,16.0
82,18.0
83,14.0
84,13.0
85,15.0
86,12.0
87,14.0
88,12.0
89,12.0
90,12.0
91,15.0
92,12.0
93,15.0
94,12.0
95,11.0
96,11.0
97,18.0
98,9.0
99,15.0
