,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,2.0
67,2.0
68,2.0
69,3.0
70,3.0
71,6.0
72,5.0
73,4.0
74,6.0
75,5.0
76,4.0
77,8.0
78,9.0
79,16.0
80,20.0
81,23.0
82,25.0
83,42.0
84,44.0
85,49.0
86,55.0
87,73.0
88,77.0
89,86.0
90,85.0
91,83.0
92,93.0
93,103.0
94,105.0
95,104.0
96,98.0
97,95.0
98,92.0
99,95.0
100,93.0
101,90.0
102,86.0
103,77.0
104,79.0
105,82.0
106,84.0
107,82.0
108,78.0
109,71.0
110,66.0
111,65.0
112,61.0
113,52.0
114,47.0
115,45.0
116,45.0
117,41.0
118,42.0
119,42.0
120,42.0
121,39.0
122,40.0
123,38.0
124,39.0
125,36.0
126,35.0
127,31.0
128,28.0
129,25.0
130,24.0
131,23.0
132,23.0
133,22.0
134,21.0
135,21.0
136,21.0
137,21.0
138,21.0
139,19.0
140,19.0
141,18.0
142,15.0
143,13.0
144,14.0
145,14.0
146,13.0
147,13.0
148,15.0
149,14.0
150,12.0
151,11.0
152,11.0
153,10.0
154,10.0
155,10.0
156,9.0
157,9.0
158,8.0
159,7.0
160,6.0
161,6.0
162,6.0
163,6.0
164,6.0
165,5.0
166,5.0
167,5.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,6.0
184,5.0
185,5.0
186,5.0
187,5.0
188,5.0
189,5.0
190,5.0
191,5.0
192,5.0
193,5.0
194,5.0
195,5.0
196,7.0
197,7.0
198,7.0
199,6.0
200,6.0
201,5.0
202,5.0
203,5.0
204,6.0
205,6.0
206,6.0
207,6.0
208,6.0
209,6.0
210,6.0
211,5.0
212,5.0
213,5.0
214,4.0
215,4.0
216,5.0
217,5.0
218,5.0
219,5.0
220,5.0
221,8.0
222,8.0
223,6.0
224,5.0
225,5.0
226,5.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,7.0
236,6.0
237,6.0
238,6.0
