,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,1.0
74,2.0
75,5.0
76,6.0
77,6.0
78,10.0
79,14.0
80,18.0
81,26.0
82,26.0
83,29.0
84,38.0
85,44.0
86,49.0
87,56.0
88,58.0
89,58.0
90,55.0
91,56.0
92,53.0
93,52.0
94,50.0
95,49.0
96,45.0
97,28.0
98,31.0
99,34.0
100,34.0
101,33.0
102,29.0
103,27.0
104,27.0
105,26.0
106,21.0
107,19.0
108,16.0
109,17.0
110,16.0
111,12.0
112,12.0
113,12.0
114,13.0
115,12.0
116,14.0
117,14.0
118,11.0
119,9.0
120,7.0
121,6.0
122,5.0
123,5.0
124,5.0
125,3.0
126,4.0
127,5.0
128,8.0
129,8.0
130,9.0
131,9.0
132,9.0
133,9.0
134,9.0
135,9.0
136,9.0
137,9.0
138,5.0
139,5.0
140,5.0
141,5.0
142,4.0
143,4.0
144,3.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,1.0
151,1.0
152,1.0
153,1.0
154,0.0
155,0.0
156,0.0
157,0.0
158,1.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,3.0
165,3.0
166,4.0
167,4.0
168,4.0
169,3.0
170,3.0
171,5.0
172,4.0
173,7.0
174,6.0
175,5.0
176,5.0
177,5.0
178,5.0
179,5.0
180,5.0
181,2.0
182,2.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,1.0
204,3.0
205,4.0
206,6.0
207,8.0
208,8.0
209,8.0
210,9.0
211,9.0
212,9.0
213,9.0
214,8.0
215,6.0
216,7.0
217,7.0
218,8.0
219,6.0
220,6.0
221,5.0
222,5.0
223,6.0
224,6.0
225,6.0
226,6.0
227,6.0
228,6.0
229,5.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,2.0
236,6.0
237,6.0
238,7.0
