,peak transmission
0,6.0
1,6.0
2,5.0
3,6.0
4,7.0
5,7.0
6,9.0
7,7.0
8,10.0
9,6.0
10,8.0
11,8.0
12,9.0
13,6.0
14,6.0
15,7.0
16,6.0
17,10.0
18,6.0
19,11.0
20,5.0
21,7.0
22,9.0
23,7.0
24,6.0
25,6.0
26,7.0
27,7.0
28,5.0
29,7.0
30,5.0
31,7.0
32,12.0
33,8.0
34,5.0
35,6.0
36,7.0
37,7.0
38,9.0
39,7.0
40,10.0
41,5.0
42,7.0
43,6.0
44,7.0
45,8.0
46,5.0
47,7.0
48,7.0
49,8.0
50,6.0
51,7.0
52,6.0
53,8.0
54,7.0
55,5.0
56,7.0
57,6.0
58,9.0
59,6.0
60,7.0
61,10.0
62,6.0
63,10.0
64,6.0
65,8.0
66,8.0
67,7.0
68,8.0
69,6.0
70,8.0
71,13.0
72,8.0
73,7.0
74,7.0
75,5.0
76,6.0
77,7.0
78,9.0
79,5.0
80,8.0
81,7.0
82,8.0
83,10.0
84,4.0
85,8.0
86,5.0
87,8.0
88,6.0
89,8.0
90,7.0
91,16.0
92,8.0
93,12.0
94,8.0
95,7.0
96,10.0
97,8.0
98,8.0
99,9.0
