,peak transmission
0,6.0
1,7.0
2,6.0
3,8.0
4,6.0
5,8.0
6,10.0
7,7.0
8,7.0
9,6.0
10,9.0
11,5.0
12,6.0
13,5.0
14,8.0
15,10.0
16,6.0
17,8.0
18,7.0
19,9.0
20,5.0
21,8.0
22,7.0
23,7.0
24,8.0
25,6.0
26,6.0
27,6.0
28,5.0
29,6.0
30,7.0
31,6.0
32,9.0
33,9.0
34,6.0
35,5.0
36,7.0
37,7.0
38,9.0
39,5.0
40,8.0
41,8.0
42,8.0
43,8.0
44,6.0
45,7.0
46,6.0
47,7.0
48,7.0
49,8.0
50,5.0
51,8.0
52,6.0
53,7.0
54,5.0
55,5.0
56,9.0
57,5.0
58,5.0
59,7.0
60,7.0
61,5.0
62,9.0
63,6.0
64,4.0
65,8.0
66,11.0
67,8.0
68,8.0
69,6.0
70,8.0
71,12.0
72,6.0
73,6.0
74,10.0
75,4.0
76,7.0
77,8.0
78,9.0
79,4.0
80,6.0
81,6.0
82,7.0
83,6.0
84,4.0
85,6.0
86,8.0
87,6.0
88,7.0
89,7.0
90,7.0
91,8.0
92,6.0
93,10.0
94,5.0
95,9.0
96,11.0
97,9.0
98,6.0
99,6.0
