,peak transmission
0,18.0
1,11.0
2,13.0
3,14.0
4,11.0
5,15.0
6,17.0
7,12.0
8,13.0
9,12.0
10,18.0
11,11.0
12,17.0
13,20.0
14,11.0
15,11.0
16,12.0
17,16.0
18,12.0
19,14.0
20,13.0
21,15.0
22,13.0
23,17.0
24,18.0
25,14.0
26,17.0
27,17.0
28,12.0
29,14.0
30,10.0
31,20.0
32,20.0
33,10.0
34,17.0
35,12.0
36,15.0
37,9.0
38,17.0
39,17.0
40,17.0
41,9.0
42,15.0
43,12.0
44,17.0
45,14.0
46,10.0
47,15.0
48,18.0
49,12.0
50,15.0
51,14.0
52,14.0
53,11.0
54,14.0
55,14.0
56,16.0
57,10.0
58,18.0
59,23.0
60,12.0
61,17.0
62,17.0
63,14.0
64,14.0
65,13.0
66,11.0
67,18.0
68,15.0
69,18.0
70,17.0
71,12.0
72,22.0
73,16.0
74,14.0
75,14.0
76,10.0
77,12.0
78,19.0
79,14.0
80,10.0
81,13.0
82,11.0
83,10.0
84,9.0
85,17.0
86,13.0
87,14.0
88,15.0
89,18.0
90,16.0
91,12.0
92,22.0
93,10.0
94,18.0
95,20.0
96,16.0
97,12.0
98,10.0
99,25.0
