,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,2
74,3
75,5
76,6
77,8
78,9
79,11
80,11
81,12
82,13
83,15
84,16
85,19
86,22
87,22
88,27
89,29
90,37
91,38
92,42
93,49
94,51
95,57
96,62
97,68
98,74
99,77
100,80
101,82
102,85
103,88
104,92
105,97
106,100
107,102
108,102
109,103
110,106
111,109
112,111
113,111
114,112
115,115
116,115
117,117
118,120
119,122
120,123
121,124
122,124
123,124
124,127
125,128
126,128
127,129
128,130
129,130
130,131
131,131
132,131
133,131
134,132
135,133
136,133
137,133
138,134
139,134
140,134
141,134
142,134
143,134
144,134
145,134
146,134
147,134
148,134
149,134
150,134
151,134
152,134
153,134
154,134
155,134
156,134
157,134
158,134
159,134
160,134
161,134
162,134
163,134
164,134
165,134
166,134
167,134
168,134
169,134
170,134
171,134
172,134
173,134
174,134
175,134
176,134
177,134
178,134
179,134
180,134
181,134
182,134
183,134
184,134
185,134
186,135
187,135
188,135
189,136
190,136
191,136
192,136
193,136
194,137
195,137
196,137
197,137
198,137
199,137
200,137
201,137
202,137
203,137
204,137
205,137
206,137
207,137
208,137
209,137
210,137
211,137
212,137
213,137
214,137
215,137
216,137
217,137
218,137
219,137
220,137
221,137
222,137
223,137
224,137
225,137
226,137
227,137
228,137
229,138
230,138
231,138
232,138
233,138
234,138
235,138
236,138
237,138
238,139
