,peak transmission
0,3.0
1,3.0
2,5.0
3,3.0
4,3.0
5,4.0
6,5.0
7,5.0
8,3.0
9,3.0
10,5.0
11,3.0
12,5.0
13,3.0
14,3.0
15,4.0
16,4.0
17,4.0
18,4.0
19,5.0
20,4.0
21,4.0
22,4.0
23,5.0
24,3.0
25,3.0
26,3.0
27,5.0
28,3.0
29,3.0
30,4.0
31,4.0
32,3.0
33,3.0
34,3.0
35,6.0
36,2.0
37,4.0
38,2.0
39,5.0
40,3.0
41,4.0
42,2.0
43,3.0
44,4.0
45,3.0
46,6.0
47,5.0
48,5.0
49,3.0
50,3.0
51,4.0
52,4.0
53,3.0
54,3.0
55,3.0
56,4.0
57,4.0
58,3.0
59,3.0
60,5.0
61,3.0
62,5.0
63,3.0
64,5.0
65,3.0
66,3.0
67,7.0
68,2.0
69,3.0
70,3.0
71,3.0
72,3.0
73,4.0
74,4.0
75,3.0
76,3.0
77,4.0
78,3.0
79,4.0
80,5.0
81,4.0
82,5.0
83,4.0
84,4.0
85,4.0
86,5.0
87,5.0
88,3.0
89,5.0
90,3.0
91,4.0
92,5.0
93,5.0
94,4.0
95,5.0
96,5.0
97,3.0
98,3.0
99,3.0
