,peak transmission
0,1.0
1,1.0
2,2.0
3,2.0
4,1.0
5,3.0
6,1.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,1.0
15,1.0
16,1.0
17,2.0
18,2.0
19,1.0
20,2.0
21,1.0
22,1.0
23,3.0
24,1.0
25,2.0
26,3.0
27,2.0
28,2.0
29,3.0
30,1.0
31,1.0
32,2.0
33,2.0
34,2.0
35,2.0
36,1.0
37,3.0
38,1.0
39,2.0
40,2.0
41,1.0
42,2.0
43,1.0
44,1.0
45,2.0
46,2.0
47,3.0
48,1.0
49,3.0
50,2.0
51,1.0
52,1.0
53,2.0
54,1.0
55,1.0
56,2.0
57,2.0
58,2.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,2.0
65,2.0
66,2.0
67,1.0
68,2.0
69,2.0
70,1.0
71,2.0
72,2.0
73,4.0
74,1.0
75,1.0
76,1.0
77,2.0
78,1.0
79,3.0
80,1.0
81,3.0
82,2.0
83,2.0
84,1.0
85,1.0
86,2.0
87,2.0
88,1.0
89,2.0
90,1.0
91,1.0
92,2.0
93,1.0
94,2.0
95,1.0
96,3.0
97,3.0
98,2.0
99,2.0
