,peak transmission
0,16.0
1,11.0
2,9.0
3,13.0
4,11.0
5,9.0
6,11.0
7,10.0
8,10.0
9,8.0
10,11.0
11,11.0
12,15.0
13,8.0
14,11.0
15,12.0
16,11.0
17,11.0
18,11.0
19,19.0
20,9.0
21,9.0
22,11.0
23,9.0
24,10.0
25,8.0
26,10.0
27,14.0
28,11.0
29,11.0
30,7.0
31,9.0
32,14.0
33,9.0
34,12.0
35,10.0
36,10.0
37,8.0
38,9.0
39,10.0
40,14.0
41,9.0
42,8.0
43,9.0
44,12.0
45,14.0
46,9.0
47,8.0
48,13.0
49,8.0
50,13.0
51,9.0
52,14.0
53,10.0
54,8.0
55,8.0
56,9.0
57,11.0
58,8.0
59,8.0
60,7.0
61,10.0
62,14.0
63,8.0
64,8.0
65,7.0
66,12.0
67,9.0
68,14.0
69,14.0
70,11.0
71,15.0
72,8.0
73,9.0
74,13.0
75,8.0
76,8.0
77,9.0
78,9.0
79,10.0
80,10.0
81,11.0
82,7.0
83,9.0
84,13.0
85,12.0
86,11.0
87,6.0
88,13.0
89,10.0
90,14.0
91,9.0
92,13.0
93,10.0
94,13.0
95,11.0
96,17.0
97,12.0
98,10.0
99,12.0
