,total_screened,positive_detected,positivity_rate
0,25230.0,241.0,0.9552120491478399
1,25230.0,306.0,1.2128418549346016
2,25231.0,256.0,1.0146248662359796
3,25231.0,282.0,1.1176727042130712
4,25231.0,270.0,1.0701121636082598
5,25230.0,287.0,1.1375346809353943
6,25231.0,287.0,1.1374895961317426
7,25230.0,193.0,0.7649623464130004
8,25230.0,281.0,1.1137534680935395
9,25230.0,247.0,0.9789932619896948
10,25230.0,288.0,1.1414982164090368
11,25231.0,278.0,1.101819190678134
12,25230.0,321.0,1.272294887039239
13,25230.0,255.0,1.0107015457788346
14,25230.0,252.0,0.9988109393579072
15,25230.0,271.0,1.0741181133571145
16,25230.0,315.0,1.2485136741973841
17,25231.0,236.0,0.9353572985612937
18,25230.0,276.0,1.093935790725327
19,25230.0,298.0,1.1811335711454618
20,25230.0,277.0,1.0978993261989696
21,25231.0,254.0,1.006698109468511
22,25231.0,313.0,1.2405374341088344
23,25230.0,252.0,0.9988109393579072
24,25230.0,249.0,0.9869203329369798
25,25230.0,265.0,1.0503369005152596
26,25230.0,305.0,1.2088783194609591
27,25231.0,318.0,1.2603543260275059
28,25231.0,297.0,1.1771233799690857
29,25243.0,331.0,1.3112546052370955
30,25230.0,192.0,0.760998810939358
31,25230.0,233.0,0.9235037653586999
32,25230.0,229.0,0.90764962346413
33,25230.0,243.0,0.9631391200951248
34,25230.0,244.0,0.9671026555687673
35,25230.0,284.0,1.125644074514467
36,25231.0,273.0,1.0820022987594626
37,25230.0,202.0,0.8006341656757828
38,25230.0,287.0,1.1375346809353943
39,25230.0,262.0,1.0384462940943322
40,25230.0,284.0,1.125644074514467
41,25230.0,296.0,1.1732065001981768
42,25231.0,208.0,0.8243827038167334
43,25230.0,239.0,0.9472849782005549
44,25230.0,245.0,0.9710661910424099
45,25230.0,275.0,1.0899722552516844
46,25230.0,255.0,1.0107015457788346
47,25231.0,218.0,0.8640164876540763
48,25230.0,258.0,1.0225921521997623
49,25230.0,273.0,1.0820451843043994
50,25230.0,310.0,1.2286959968291715
51,25230.0,253.0,1.0027744748315497
52,25231.0,259.0,1.0265150013871824
53,25235.0,245.0,0.970873786407767
54,25230.0,243.0,0.9631391200951248
55,25230.0,225.0,0.89179548156956
56,25230.0,277.0,1.0978993261989696
57,25230.0,262.0,1.0384462940943322
58,25231.0,281.0,1.113709325829337
59,25230.0,273.0,1.0820451843043994
60,25230.0,223.0,0.8838684106222751
61,25230.0,226.0,0.8957590170432025
62,25230.0,292.0,1.1573523583036067
63,25230.0,204.0,0.8085612366230678
64,25230.0,232.0,0.9195402298850575
65,25230.0,223.0,0.8838684106222751
66,25230.0,215.0,0.8521601268331351
67,25230.0,259.0,1.0265556876734048
68,25230.0,262.0,1.0384462940943322
69,25230.0,258.0,1.0225921521997623
70,25230.0,238.0,0.9433214427269124
71,25230.0,287.0,1.1375346809353943
72,25231.0,246.0,0.9749910823986366
73,25230.0,246.0,0.9750297265160524
74,25230.0,276.0,1.093935790725327
75,25230.0,283.0,1.1216805390408244
76,25230.0,215.0,0.8521601268331351
77,25230.0,319.0,1.264367816091954
78,25231.0,254.0,1.006698109468511
79,25230.0,252.0,0.9988109393579072
80,25230.0,338.0,1.3396749900911613
81,25230.0,251.0,0.9948474038842647
82,25230.0,203.0,0.8045977011494253
83,25230.0,241.0,0.9552120491478399
84,25230.0,280.0,1.109789932619897
85,25230.0,267.0,1.0582639714625446
86,25230.0,254.0,1.0067380103051922
87,25231.0,216.0,0.8560897308866078
88,25231.0,281.0,1.113709325829337
89,25230.0,314.0,1.2445501387237417
90,25230.0,240.0,0.9512485136741974
91,25230.0,239.0,0.9472849782005549
92,25230.0,255.0,1.0107015457788346
93,25230.0,248.0,0.9829567974633373
94,25231.0,315.0,1.248464190876303
95,25230.0,228.0,0.9036860879904876
96,25231.0,295.0,1.169196623201617
97,25231.0,316.0,1.2524275692600373
98,25231.0,308.0,1.2207205421901628
99,25231.0,310.0,1.2286472989576316
