,peak transmission
0,20.0
1,15.0
2,16.0
3,19.0
4,15.0
5,13.0
6,13.0
7,23.0
8,12.0
9,16.0
10,14.0
11,14.0
12,17.0
13,13.0
14,13.0
15,16.0
16,11.0
17,19.0
18,20.0
19,13.0
20,13.0
21,10.0
22,20.0
23,15.0
24,21.0
25,14.0
26,12.0
27,15.0
28,10.0
29,12.0
30,11.0
31,19.0
32,16.0
33,15.0
34,18.0
35,16.0
36,13.0
37,10.0
38,14.0
39,19.0
40,14.0
41,13.0
42,13.0
43,18.0
44,15.0
45,13.0
46,18.0
47,14.0
48,19.0
49,14.0
50,22.0
51,14.0
52,25.0
53,18.0
54,17.0
55,21.0
56,14.0
57,11.0
58,18.0
59,15.0
60,20.0
61,15.0
62,12.0
63,13.0
64,13.0
65,15.0
66,17.0
67,14.0
68,13.0
69,17.0
70,12.0
71,12.0
72,16.0
73,17.0
74,17.0
75,11.0
76,17.0
77,15.0
78,14.0
79,16.0
80,14.0
81,21.0
82,13.0
83,23.0
84,15.0
85,16.0
86,15.0
87,16.0
88,13.0
89,12.0
90,13.0
91,17.0
92,15.0
93,16.0
94,17.0
95,14.0
96,17.0
97,21.0
98,19.0
99,15.0
