,peak transmission
0,21.0
1,14.0
2,10.0
3,20.0
4,18.0
5,12.0
6,12.0
7,20.0
8,13.0
9,16.0
10,17.0
11,17.0
12,17.0
13,17.0
14,16.0
15,17.0
16,13.0
17,19.0
18,18.0
19,14.0
20,15.0
21,11.0
22,16.0
23,15.0
24,21.0
25,13.0
26,17.0
27,13.0
28,11.0
29,13.0
30,14.0
31,15.0
32,17.0
33,15.0
34,16.0
35,23.0
36,13.0
37,13.0
38,16.0
39,17.0
40,15.0
41,14.0
42,14.0
43,18.0
44,16.0
45,11.0
46,18.0
47,14.0
48,18.0
49,19.0
50,17.0
51,12.0
52,23.0
53,17.0
54,21.0
55,18.0
56,16.0
57,13.0
58,15.0
59,17.0
60,17.0
61,18.0
62,11.0
63,18.0
64,14.0
65,16.0
66,14.0
67,16.0
68,13.0
69,19.0
70,10.0
71,15.0
72,17.0
73,19.0
74,23.0
75,15.0
76,16.0
77,12.0
78,17.0
79,19.0
80,13.0
81,15.0
82,15.0
83,21.0
84,17.0
85,17.0
86,16.0
87,16.0
88,17.0
89,12.0
90,21.0
91,20.0
92,15.0
93,18.0
94,26.0
95,16.0
96,16.0
97,16.0
98,17.0
99,11.0
