,peak transmission
0,3.0
1,3.0
2,4.0
3,3.0
4,2.0
5,4.0
6,5.0
7,4.0
8,3.0
9,4.0
10,3.0
11,3.0
12,5.0
13,2.0
14,2.0
15,3.0
16,4.0
17,2.0
18,4.0
19,3.0
20,3.0
21,3.0
22,3.0
23,8.0
24,1.0
25,3.0
26,4.0
27,3.0
28,3.0
29,3.0
30,2.0
31,3.0
32,4.0
33,3.0
34,4.0
35,4.0
36,4.0
37,3.0
38,4.0
39,5.0
40,3.0
41,2.0
42,3.0
43,3.0
44,2.0
45,2.0
46,2.0
47,2.0
48,4.0
49,4.0
50,3.0
51,1.0
52,6.0
53,5.0
54,4.0
55,2.0
56,2.0
57,3.0
58,3.0
59,3.0
60,5.0
61,3.0
62,2.0
63,3.0
64,4.0
65,4.0
66,5.0
67,2.0
68,4.0
69,4.0
70,3.0
71,2.0
72,4.0
73,2.0
74,1.0
75,3.0
76,4.0
77,4.0
78,3.0
79,2.0
80,2.0
81,5.0
82,4.0
83,2.0
84,2.0
85,3.0
86,5.0
87,4.0
88,5.0
89,4.0
90,3.0
91,2.0
92,4.0
93,3.0
94,2.0
95,2.0
96,3.0
97,4.0
98,2.0
99,5.0
