,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_to_hcw_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_to_pat_sum,hcw_to_hcw_sum,hcw_nrow,total_counts
0,0.07386363636363637,0.16666666666666666,0.14678899082568808,0.044444444444444446,13.0,1.0,14,182,16.0,2.0,16,2,154,32.0
1,0.10857142857142857,0.0,0.1523809523809524,0.08163265306122448,19.0,0.0,19,178,16.0,4.0,17,3,154,39.0
2,0.0847457627118644,0.3333333333333333,0.24528301886792453,0.10526315789473684,15.0,1.0,16,180,26.0,4.0,22,8,144,46.0
3,0.16393442622950818,0.0,0.2413793103448276,0.03571428571428571,30.0,0.0,30,185,28.0,2.0,25,5,172,60.0
4,0.046242774566473986,0.3333333333333333,0.14,0.10638297872340426,8.0,1.0,9,176,14.0,5.0,16,3,147,28.0
5,0.10795454545454546,0.0,0.25,0.043478260869565216,19.0,0.0,19,183,26.0,2.0,20,8,150,47.0
6,0.1358695652173913,0.25,0.216,0.06382978723404255,25.0,1.0,26,188,27.0,3.0,28,2,172,56.0
7,0.1016949152542373,0.14285714285714285,0.234375,0.2,18.0,1.0,19,184,30.0,9.0,25,14,173,58.0
8,0.12290502793296089,0.4,0.24778761061946902,0.061224489795918366,22.0,2.0,24,184,28.0,3.0,24,7,162,55.0
9,0.09411764705882353,0.75,0.11458333333333333,0.13636363636363635,16.0,3.0,19,174,11.0,6.0,12,5,140,36.0
10,0.045714285714285714,0.3333333333333333,0.17699115044247787,0.10526315789473684,8.0,3.0,11,184,20.0,4.0,22,2,151,35.0
11,0.06976744186046512,0.0,0.12222222222222222,0.1320754716981132,12.0,0.0,12,173,11.0,7.0,13,5,143,30.0
12,0.07777777777777778,1.0,0.14545454545454545,0.14285714285714285,14.0,1.0,15,181,16.0,7.0,19,4,159,38.0
13,0.03550295857988166,0.0,0.13186813186813187,0.02,6.0,0.0,6,173,12.0,1.0,9,4,141,19.0
14,0.07878787878787878,0.0,0.13541666666666666,0.0,13.0,0.0,13,170,13.0,0.0,11,2,147,26.0
15,0.10857142857142857,0.25,0.28,0.04,19.0,2.0,21,183,28.0,2.0,22,8,150,51.0
16,0.11560693641618497,0.5,0.1557377049180328,0.045454545454545456,20.0,1.0,21,175,19.0,2.0,15,6,166,42.0
17,0.1016949152542373,0.5,0.12962962962962962,0.17777777777777778,18.0,1.0,19,179,14.0,8.0,19,3,153,41.0
18,0.14207650273224043,0.42857142857142855,0.2727272727272727,0.06349206349206349,26.0,3.0,29,190,33.0,4.0,27,10,184,66.0
19,0.13068181818181818,0.16666666666666666,0.13513513513513514,0.14634146341463414,23.0,1.0,24,182,15.0,6.0,18,3,152,45.0
20,0.11235955056179775,0.75,0.1935483870967742,0.09375,20.0,3.0,23,182,24.0,3.0,23,4,156,50.0
21,0.08522727272727272,0.2,0.1826086956521739,0.13793103448275862,15.0,1.0,16,181,21.0,8.0,22,7,173,45.0
22,0.09770114942528736,0.2857142857142857,0.2,0.09302325581395349,17.0,2.0,19,181,21.0,4.0,19,6,148,44.0
23,0.2198952879581152,1.0,0.24475524475524477,0.0625,42.0,3.0,45,194,35.0,3.0,33,5,191,83.0
24,0.023121387283236993,0.6666666666666666,0.10784313725490197,0.10416666666666667,4.0,2.0,6,176,11.0,5.0,13,3,150,22.0
25,0.06432748538011696,0.0,0.1523809523809524,0.07894736842105263,11.0,0.0,11,174,16.0,3.0,13,6,143,30.0
26,0.10112359550561797,1.0,0.21641791044776118,0.07317073170731707,18.0,3.0,21,181,29.0,3.0,20,12,175,53.0
27,0.15730337078651685,0.0,0.18627450980392157,0.09523809523809523,28.0,0.0,28,181,19.0,4.0,20,3,144,51.0
28,0.06896551724137931,0.6666666666666666,0.2018348623853211,0.045454545454545456,12.0,4.0,16,180,22.0,2.0,16,8,153,40.0
29,0.11428571428571428,1.0,0.1891891891891892,0.09090909090909091,20.0,2.0,22,177,21.0,4.0,18,7,155,47.0
30,0.06179775280898876,0.3333333333333333,0.24299065420560748,0.10526315789473684,11.0,3.0,14,187,26.0,4.0,26,4,145,44.0
31,0.12716763005780346,0.4,0.171875,0.037037037037037035,22.0,2.0,24,178,22.0,2.0,20,4,182,48.0
32,0.1005586592178771,1.3333333333333333,0.27350427350427353,0.05660377358490566,18.0,8.0,26,185,32.0,3.0,26,9,170,61.0
33,0.12222222222222222,0.0,0.21904761904761905,0.0784313725490196,22.0,0.0,22,182,23.0,4.0,21,6,156,49.0
34,0.09411764705882353,0.3333333333333333,0.13636363636363635,0.023255813953488372,16.0,1.0,17,173,15.0,1.0,13,3,153,33.0
