,peak transmission
0,21.0
1,16.0
2,21.0
3,26.0
4,18.0
5,19.0
6,22.0
7,22.0
8,17.0
9,22.0
10,15.0
11,13.0
12,16.0
13,24.0
14,13.0
15,19.0
16,15.0
17,17.0
18,22.0
19,12.0
20,20.0
21,16.0
22,18.0
23,15.0
24,15.0
25,13.0
26,14.0
27,18.0
28,20.0
29,21.0
30,21.0
31,15.0
32,23.0
33,23.0
34,16.0
35,11.0
36,16.0
37,20.0
38,17.0
39,16.0
40,14.0
41,14.0
42,22.0
43,15.0
44,13.0
45,21.0
46,15.0
47,12.0
48,16.0
49,18.0
50,19.0
51,15.0
52,17.0
53,15.0
54,19.0
55,15.0
56,13.0
57,21.0
58,22.0
59,19.0
60,22.0
61,19.0
62,17.0
63,23.0
64,18.0
65,16.0
66,14.0
67,22.0
68,16.0
69,18.0
70,20.0
71,20.0
72,18.0
73,20.0
74,18.0
75,19.0
76,22.0
77,14.0
78,15.0
79,20.0
80,16.0
81,24.0
82,27.0
83,20.0
84,11.0
85,15.0
86,19.0
87,29.0
88,11.0
89,18.0
90,17.0
91,23.0
92,18.0
93,16.0
94,19.0
95,14.0
96,15.0
97,16.0
98,14.0
99,21.0
