,peak transmission
0,16.0
1,13.0
2,17.0
3,14.0
4,12.0
5,24.0
6,22.0
7,17.0
8,12.0
9,18.0
10,12.0
11,12.0
12,11.0
13,15.0
14,10.0
15,19.0
16,14.0
17,14.0
18,17.0
19,12.0
20,16.0
21,12.0
22,19.0
23,14.0
24,12.0
25,10.0
26,13.0
27,20.0
28,16.0
29,17.0
30,19.0
31,12.0
32,15.0
33,18.0
34,16.0
35,12.0
36,18.0
37,21.0
38,18.0
39,14.0
40,14.0
41,13.0
42,14.0
43,17.0
44,16.0
45,22.0
46,14.0
47,11.0
48,12.0
49,12.0
50,14.0
51,11.0
52,18.0
53,15.0
54,13.0
55,17.0
56,11.0
57,15.0
58,20.0
59,19.0
60,19.0
61,14.0
62,16.0
63,13.0
64,16.0
65,16.0
66,12.0
67,17.0
68,11.0
69,18.0
70,14.0
71,18.0
72,16.0
73,20.0
74,12.0
75,20.0
76,20.0
77,18.0
78,13.0
79,17.0
80,12.0
81,18.0
82,15.0
83,18.0
84,10.0
85,14.0
86,18.0
87,20.0
88,9.0
89,17.0
90,15.0
91,17.0
92,16.0
93,15.0
94,20.0
95,14.0
96,14.0
97,11.0
98,12.0
99,21.0
