,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,2
72,4
73,4
74,5
75,7
76,10
77,12
78,15
79,18
80,22
81,25
82,31
83,35
84,43
85,49
86,57
87,65
88,70
89,76
90,88
91,100
92,110
93,122
94,132
95,147
96,161
97,176
98,184
99,190
100,203
101,206
102,213
103,218
104,223
105,229
106,235
107,243
108,249
109,252
110,255
111,262
112,265
113,267
114,268
115,270
116,272
117,274
118,276
119,276
120,277
121,277
122,278
123,279
124,279
125,279
126,280
127,281
128,283
129,284
130,288
131,291
132,292
133,292
134,292
135,293
136,294
137,295
138,295
139,295
140,296
141,297
142,297
143,297
144,298
145,298
146,300
147,300
148,300
149,301
150,302
151,302
152,304
153,304
154,304
155,304
156,304
157,304
158,304
159,304
160,304
161,304
162,304
163,304
164,304
165,304
166,304
167,304
168,304
169,304
170,304
171,304
172,304
173,304
174,304
175,304
176,304
177,304
178,304
179,304
180,304
181,304
182,304
183,304
184,304
185,304
186,304
187,304
188,304
189,304
190,304
191,304
192,304
193,304
194,304
195,304
196,304
197,304
198,304
199,304
200,304
201,304
202,304
203,304
204,304
205,304
206,304
207,304
208,304
209,304
210,304
211,304
212,304
213,304
214,304
215,304
216,304
217,304
218,304
219,304
220,305
221,305
222,305
223,305
224,306
225,306
226,306
227,306
228,306
229,306
230,306
231,306
232,306
233,306
234,306
235,306
236,306
237,306
238,306
