,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,2.0
73,2.0
74,2.0
75,1.0
76,2.0
77,7.0
78,9.0
79,13.0
80,16.0
81,20.0
82,22.0
83,28.0
84,35.0
85,39.0
86,44.0
87,53.0
88,60.0
89,69.0
90,70.0
91,85.0
92,92.0
93,97.0
94,102.0
95,101.0
96,97.0
97,92.0
98,87.0
99,89.0
100,92.0
101,94.0
102,88.0
103,81.0
104,82.0
105,82.0
106,81.0
107,84.0
108,80.0
109,77.0
110,78.0
111,76.0
112,75.0
113,67.0
114,63.0
115,60.0
116,60.0
117,55.0
118,57.0
119,59.0
120,60.0
121,56.0
122,55.0
123,52.0
124,48.0
125,44.0
126,44.0
127,39.0
128,36.0
129,34.0
130,33.0
131,31.0
132,30.0
133,29.0
134,28.0
135,27.0
136,25.0
137,25.0
138,24.0
139,23.0
140,22.0
141,22.0
142,18.0
143,17.0
144,17.0
145,17.0
146,16.0
147,16.0
148,16.0
149,16.0
150,15.0
151,14.0
152,14.0
153,14.0
154,14.0
155,14.0
156,14.0
157,13.0
158,12.0
159,11.0
160,10.0
161,10.0
162,10.0
163,9.0
164,9.0
165,8.0
166,8.0
167,8.0
168,7.0
169,7.0
170,7.0
171,6.0
172,6.0
173,6.0
174,6.0
175,6.0
176,6.0
177,6.0
178,6.0
179,6.0
180,5.0
181,5.0
182,5.0
183,5.0
184,5.0
185,5.0
186,5.0
187,5.0
188,5.0
189,5.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,5.0
205,5.0
206,5.0
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,4.0
215,4.0
216,5.0
217,5.0
218,5.0
219,5.0
220,6.0
221,7.0
222,7.0
223,6.0
224,6.0
225,6.0
226,8.0
227,8.0
228,9.0
229,10.0
230,10.0
231,8.0
232,7.0
233,7.0
234,6.0
235,6.0
236,6.0
237,6.0
238,6.0
