,peak transmission
0,17.0
1,13.0
2,10.0
3,11.0
4,12.0
5,16.0
6,12.0
7,14.0
8,12.0
9,11.0
10,10.0
11,16.0
12,15.0
13,13.0
14,14.0
15,18.0
16,14.0
17,11.0
18,13.0
19,14.0
20,13.0
21,10.0
22,10.0
23,11.0
24,12.0
25,11.0
26,10.0
27,13.0
28,10.0
29,13.0
30,9.0
31,10.0
32,9.0
33,8.0
34,15.0
35,14.0
36,17.0
37,13.0
38,10.0
39,9.0
40,12.0
41,13.0
42,9.0
43,7.0
44,13.0
45,9.0
46,13.0
47,18.0
48,15.0
49,15.0
50,10.0
51,16.0
52,8.0
53,13.0
54,14.0
55,12.0
56,19.0
57,12.0
58,9.0
59,16.0
60,11.0
61,17.0
62,9.0
63,8.0
64,7.0
65,13.0
66,8.0
67,9.0
68,12.0
69,11.0
70,11.0
71,16.0
72,16.0
73,11.0
74,7.0
75,13.0
76,15.0
77,11.0
78,14.0
79,11.0
80,10.0
81,10.0
82,11.0
83,8.0
84,14.0
85,9.0
86,10.0
87,9.0
88,8.0
89,20.0
90,12.0
91,11.0
92,12.0
93,9.0
94,13.0
95,17.0
96,13.0
97,12.0
98,9.0
99,13.0
