,Total_Transmission_counts,Patient_transmission_counts,hcw_transmission_count
206,2.0,2.0,0.0
207,1.0,0.0,1.0
208,1.0,0.0,1.0
209,7.0,4.0,3.0
210,3.0,0.0,3.0
211,3.0,2.0,1.0
212,4.0,0.0,4.0
213,5.0,1.0,4.0
214,2.0,0.0,2.0
215,6.0,4.0,2.0
216,1.0,1.0,0.0
217,1.0,0.0,1.0
218,4.0,1.0,3.0
219,1.0,0.0,1.0
220,1.0,1.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
