exposed mean,exposed stdv,symptomatic mean,symptomatic stdv,asymptomatic mean,saymptomatic stdv
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.19999999999999998,0.0,0.0,0.01,0.09999999999999999
0.02,0.19999999999999998,0.0,0.0,0.01,0.09999999999999999
0.02,0.19999999999999998,0.0,0.0,0.01,0.09999999999999999
0.02,0.19999999999999998,0.0,0.0,0.01,0.09999999999999999
0.02,0.19999999999999998,0.0,0.0,0.01,0.09999999999999999
0.02,0.19999999999999998,0.01,0.09999999999999999,0.02,0.19999999999999998
0.01,0.09999999999999999,0.02,0.19999999999999998,0.02,0.19999999999999998
0.01,0.09999999999999999,0.02,0.19999999999999998,0.03,0.3
0.02,0.19999999999999998,0.02,0.19999999999999998,0.03,0.3
0.18,0.38612291966536916,0.03,0.3,0.1,0.3892494720807615
0.44,0.640706680552849,0.03,0.3,0.2,0.7106690545187014
0.73,0.9519252156349343,0.04,0.31526804372460493,0.35,0.7703468981143129
0.98,1.1007802558717936,0.07,0.35547663265485724,0.53,0.9151364638537509
1.44,1.3730449829676104,0.11,0.34509550720186016,0.72,1.119884553934652
1.9,1.6545010539052967,0.26,0.4631905164675272,0.92,1.088785812478536
2.56,2.152377121400261,0.39,0.6339709708805221,1.24,1.3342421145361962
3.23,2.692507374102429,0.63,0.8245598764789552,1.67,1.5508550916031825
3.92,3.208826211648997,1.07,1.174260996920569,2.17,1.7526603155826237
4.82,3.4388746103716232,1.5,1.6049166881048922,2.87,2.1539486877581253
5.87,3.862942302484369,2.15,1.986698189703131,3.72,2.5068794235950884
7.49,4.687173557656679,2.72,2.4785137286346233,4.5,2.914609664251715
9.15,5.607309443210638,3.27,2.7074718909721005,5.6,3.318147225501155
10.77,6.10655385630881,4.19,3.208873429549487,6.85,3.8227786181829
12.7,6.589707309451795,5.09,4.052920134441537,8.57,4.248006068210774
14.66,7.115525776125547,6.38,4.7626068746458845,9.95,4.595507248246582
16.61,7.839159664302306,7.94,5.283517346953216,11.62,5.298713394434883
18.59,8.399248403123565,9.57,5.7106227437305055,13.45,5.74785862629543
21.04,8.750088022645281,11.67,6.657652997441623,15.46,6.4876261397596675
23.72,8.846707999264044,13.81,7.568802261703477,17.77,7.165933718686355
26.41,9.297653662960544,16.05,8.460693430998036,20.1,7.474535896541462
29.0,9.623204279555777,18.59,9.082222617661808,22.64,8.102275525237875
31.72,10.136522624109853,21.06,9.567220974332994,25.2,8.353309390761112
34.06,10.816952650652802,23.88,10.061708592380311,27.63,9.059461263443781
36.54,11.03110386703219,26.55,11.036555420762202,30.29,9.177591286289765
38.7,11.387127235025815,29.65,11.417136685746131,33.02,9.159617124017023
40.57,10.962060375530125,32.81,12.041758152111319,35.68,9.560947503867867
42.58,11.243116861781557,36.04,12.450240353040773,38.32,9.71604941123789
44.07,10.961138885013986,39.29,12.574059396112684,40.74,10.042958234554701
45.07,10.838814464225273,42.57,12.692362294153938,43.05,10.109876159458926
46.08,11.04232445153326,45.36,12.97512772168118,44.99,10.301019857325299
47.24,11.001487502730132,47.95,12.943837502569682,47.05,10.62907675799139
47.8,11.230370079441377,49.95,12.632629707758133,48.14,10.311335333681876
46.91,11.19983315171537,52.33,12.576276367539291,49.75,10.372238588334406
46.41,10.703624421548792,54.36,13.134517713093066,50.79,10.247734413325738
44.93,10.390608619072681,56.34,12.99667401120515,51.25,10.040700003767494
44.36,10.78581185510564,56.9,13.055824196677339,51.9,10.072966120495316
44.01,11.117821710926991,56.76,12.68349758982557,52.08,10.264856196132158
42.24,10.8060215162705,57.59,12.601182404036457,51.7,10.419969173455245
40.72,11.14466851744081,57.84,13.22052276660126,51.08,10.708893688911289
38.81,10.42984741842934,57.27,13.211454320116513,49.93,10.564142705923237
37.05,10.731220383026848,55.73,12.372056327780673,48.72,10.73658900369868
34.87,10.38516327082132,53.8,12.179631946140013,46.85,10.94372658262036
32.15,9.288175387028499,52.85,12.75042086847459,44.75,11.292596126344343
30.19,8.709329724061677,52.04,13.12405455950287,43.08,10.77378036876302
28.57,8.50223381223898,49.44,12.707525806435024,40.67,10.754425915300025
27.22,8.275044630475636,46.88,12.421291593408668,38.96,10.612475981817179
25.52,8.256592101546081,44.49,11.144138287988811,36.59,9.81247917066566
23.81,7.530000603645997,42.32,11.359933133961695,34.18,9.776678083246598
22.11,7.21375649909829,40.34,11.17104843926134,32.24,9.61597996602898
20.35,7.004147400510701,37.56,10.123799342702972,30.26,9.092809902290485
19.06,6.544054283442831,34.92,9.543817079368424,28.3,8.627534029741257
17.72,6.394568402207067,33.12,9.53704102513728,26.42,8.162713947572769
16.44,6.391787660345852,31.06,9.297354897002053,24.49,7.46371018307716
15.45,5.850623725706344,28.96,9.420502034703809,22.84,7.210710328001218
14.28,5.9238944329322125,27.22,8.754312068802426,21.11,6.6193701064422
13.18,5.89706312797765,25.19,8.25318426457634,19.79,6.246283743639942
12.51,5.881824426643369,23.24,8.115479659330685,18.16,5.989418278358201
11.69,5.83042351667856,21.66,8.126798169319112,17.03,5.9057496380966565
10.66,5.6732938075039465,20.14,7.840609129088857,16.21,5.937885553670166
10.03,5.621845917058873,18.93,7.221257899879054,15.15,6.002314368456369
9.29,5.347131771503128,17.62,7.102112361825882,14.09,5.817241874832353
8.63,5.129937877427232,16.24,7.190229060286879,13.07,5.721225763979625
7.61,5.00281738805064,15.18,7.118591393972787,12.11,5.387780787873781
7.16,4.653053738235687,14.42,7.067038297832431,11.23,5.140166644313502
6.78,4.379889763845015,13.31,6.755013102888995,10.38,4.827907089897947
6.65,4.349329450233296,12.0,6.474503217945908,9.87,4.563037708732323
6.25,4.279089396192379,11.1,6.376250125000246,9.0,4.371625682868
6.1,4.538277161650619,10.24,5.891476466005355,8.4,4.109609335312651
5.65,4.2814492967695035,9.62,5.7485703097431635,7.66,3.9060171142699436
5.15,3.937324631336011,9.04,5.915089418452001,7.08,3.7082490627129014
4.78,3.677889161852038,8.55,5.659308948783215,6.72,3.760722045436262
4.78,3.6778891618520375,7.9,5.164955728442179,6.27,3.824046722169243
4.36,3.6969001483771113,7.77,5.016850394299981,5.88,3.616125500637891
4.13,3.6199642835449932,7.26,4.912610036807051,5.5,3.534819584497842
3.93,3.6160556668639083,6.93,5.081666393353004,5.13,3.410189721906091
3.79,3.5541837631476265,6.56,4.872764962917706,4.91,3.1911968559989177
3.68,3.3359989341858145,5.93,4.542181649979901,4.71,3.1278966373167405
3.37,3.268011473342618,5.57,4.346727551163105,4.52,3.076400888090241
3.19,2.983777688255158,5.61,4.5878517672636105,4.33,3.107680287236248
3.07,2.731244582547848,5.11,4.343566006930901,4.14,3.1043143650035954
3.02,2.68170004875921,4.9,4.253340932832576,3.91,2.933935888525821
2.72,2.462158041682585,4.69,4.152874141647401,3.77,2.926213811861203
2.54,2.4096606911481637,4.56,4.17621935257334,3.6,2.9983160256882515
2.44,2.3712077645424205,4.34,3.8748607013085583,3.58,3.009010038890102
2.44,2.4466840062138444,4.04,3.654027803933516,3.43,2.82218841942693
2.33,2.2920812297203526,3.87,3.4572570431812366,3.23,2.7555453730668824
2.21,2.262094318783084,3.71,3.361381990921128,3.11,2.68890349774811
2.18,2.4136815419310365,3.38,2.9772877630894907,2.91,2.597959572317079
1.99,2.388926473747088,3.18,2.731706833139717,2.8,2.597590180816587
2.12,2.5830840544440736,2.9,2.6111648393354674,2.7,2.435013948480158
1.95,2.467465063254967,2.86,2.689373025953684,2.53,2.397199544586486
1.98,2.3569368924838683,2.75,2.782974936097969,2.39,2.2288059039709487
1.78,2.148901528171493,2.57,2.7052324906157006,2.37,2.303510715443194
1.66,2.142499248612011,2.55,2.8297660252352594,2.23,2.17355548223261
1.43,1.8545875416099802,2.63,2.9324206569131426,2.06,2.0880613017821097
1.33,1.717732825734567,2.55,3.10221491417622,1.96,1.9536032495278197
1.23,1.5881823674638982,2.48,3.134944782269504,1.79,1.7995229446391696
1.13,1.5219272736443836,2.29,2.975641854196241,1.67,1.7584141156224267
1.05,1.4659433478105142,2.18,2.675666630802858,1.61,1.7343528470238683
0.97,1.5005386238335094,1.99,2.5085510325341764,1.49,1.7320216482189215
0.84,1.3686238756982552,1.84,2.4442056816359408,1.43,1.6952399192557919
0.79,1.3355663119955419,1.63,2.236768050811553,1.38,1.7161149451742752
0.67,1.2395421116140617,1.48,1.987231971635649,1.3,1.7724034928351222
0.68,1.4486496673060254,1.33,1.7584141156224267,1.19,1.7097167347637774
0.59,1.3188225541341523,1.24,1.764521281689556,1.01,1.5602058916189314
0.56,1.241699714833736,1.17,1.7468875641025559,0.97,1.4733662412340256
0.53,1.1322187032191229,1.09,1.7871313280893446,0.83,1.3337499349161703
0.57,1.1214618886421275,0.94,1.6866678644144748,0.78,1.3822832816420338
0.51,0.9999494936740504,0.9,1.5537507567629418,0.73,1.4060116240162055
0.47,0.9151364638537509,0.82,1.5978520936342364,0.66,1.2966156412800676
0.52,0.8930709700666333,0.82,1.6959845625369456,0.63,1.2843659757234147
0.5,0.9692233691951198,0.75,1.5,0.63,1.2843659757234147
0.5,1.1055415967851334,0.67,1.3488116730266422,0.57,1.182831733210988
0.55,1.1492202011394819,0.6,1.1720654306553768,0.53,1.1051303684693186
0.58,1.0747797519266515,0.63,1.1516786167866606,0.52,1.009850473980173
0.55,1.0952145677879515,0.62,1.1171753703339542,0.48,0.9372213390570225
0.52,0.9793834382875377,0.64,1.1416804909581066,0.44,0.8326663997864532
0.51,0.9691712590109807,0.61,1.0814785987692774,0.45,0.8211226608993473
0.51,0.9586922911398157,0.6,1.005037815259212,0.5,0.8703882797784892
0.54,0.9991915924305201,0.6,1.1009637651263606,0.5,0.8468599159080072
0.53,0.9369518599580172,0.67,1.1896438648824808,0.46,0.8092895000860293
0.53,1.0195562512656913,0.72,1.2478668667657289,0.48,0.8930709700666334
0.56,1.1130084810044703,0.68,1.1623730516108464,0.52,0.9690149116447585
0.63,1.4117472518231806,0.63,1.125058921015951,0.55,0.9885710532241612
0.61,1.4276844288157058,0.66,1.1653239026038202,0.56,1.0280903155704253
0.6,1.3632996217214537,0.69,1.228409499714936,0.58,1.0747797519266518
0.55,1.17529278535739,0.69,1.3157553424600341,0.58,1.1386683698802107
0.48,1.0586822378825862,0.74,1.268260560170838,0.56,1.1038957643663003
0.53,1.1499231419200295,0.66,1.224497423187954,0.52,1.0490977364412053
0.51,1.12362148988227,0.69,1.2608719125263994,0.56,1.1038957643663003
0.52,1.0586822378825862,0.71,1.372861054421559,0.62,1.1701679064531418
0.5,1.0963668190985179,0.73,1.4761059883656353,0.62,1.1787684036717938
0.54,1.167056212022455,0.68,1.4275782983709855,0.57,1.1393334929162786
0.55,1.1838560518556096,0.64,1.322073669611035,0.57,1.0848357879737776
0.5,0.9692233691951198,0.59,1.3034143197344767,0.58,1.1475049789729352
0.51,1.0199524647271707,0.62,1.3982673260687726,0.58,1.1907047399661166
0.55,1.0286305498481019,0.6,1.2712834523274568,0.54,1.1496156582163282
0.43,0.8072274534579219,0.66,1.304382666786914,0.54,1.1583687589961071
0.46,0.881000349694378,0.6,1.2472191289246473,0.52,1.1234866364235145
0.44,0.8798530639495519,0.61,1.2783749153681105,0.5,1.0777829844714388
0.41,0.8656754238130706,0.66,1.2809403111808453,0.51,1.0870681541270408
0.51,0.915577865767204,0.62,1.0615407137122375,0.51,1.0963207522979723
0.5,0.8932971498777985,0.59,1.025877303786492,0.51,1.0963207522979723
0.57,1.0075974023649152,0.55,0.9574271077563381,0.52,1.1234866364235145
0.59,1.1379140937911283,0.51,0.8818598344843513,0.55,1.0766108438479103
0.59,1.2234658503075133,0.57,1.0274514906585934,0.57,0.9666666666666666
0.65,1.5,0.57,1.017572869849892,0.62,1.042336148497521
0.67,1.2875079680051569,0.59,1.110964636810022,0.68,1.1360039834899571
0.7,1.3743685418725538,0.63,1.1069568805303733,0.73,1.144640563758781
0.82,1.5464524407543712,0.66,1.1211465992320973,0.75,1.1135075167680684
0.87,1.5285498508274589,0.74,1.252230333477355,0.76,1.074215711083856
0.91,1.608657134935154,0.75,1.4025589888385148,0.83,1.1375589672805555
0.91,1.4708961056224719,0.83,1.5443281694476387,0.87,1.2444218973426409
0.92,1.5418734505055003,0.89,1.8306867950073114,0.86,1.2392568643173114
1.0,1.6937198318160145,0.87,1.5285498508274589,0.91,1.3713887379977534
0.94,1.6380574847154552,0.98,1.8145316895897001,0.93,1.4302291968616623
0.98,1.6816298010795323,0.99,1.7609398317117737,1.03,1.4937918668322376
0.98,1.543837537901687,1.04,1.819756893520437,1.12,1.5717197683757211
1.05,1.5200677815828019,1.13,1.8997873352541121,1.09,1.5248447511637093
1.06,1.361965306074092,1.07,1.8326720570486332,1.07,1.5651185129554757
0.95,1.282161999881214,1.13,1.7094803983442548,1.06,1.600631188631598
1.03,1.4870144993281407,1.19,1.9,1.02,1.5953214425470827
1.11,1.5498126312297213,1.14,1.705724171574921,1.01,1.5858910760359632
1.12,1.5392507688134929,1.21,1.736680916593663,1.0,1.5699192541804385
1.08,1.5353083459591164,1.25,1.80557498047049,0.98,1.537280821200968
1.2,1.6696942198734437,1.22,1.7671525918347526,0.89,1.4205917105490964
1.26,1.76165670419476,1.25,1.6598344812210961,0.91,1.4290987482757207
1.18,1.866125462669711,1.27,1.6320960062868157,0.98,1.4562994475066178
1.25,1.7716909687891083,1.25,1.7254775360093006,0.99,1.473640445161628
1.16,1.7391510758546722,1.36,1.935943901015416,1.01,1.5406610151608187
