,peak transmission
0,17.0
1,17.0
2,26.0
3,23.0
4,15.0
5,15.0
6,11.0
7,12.0
8,18.0
9,17.0
10,10.0
11,14.0
12,23.0
13,15.0
14,11.0
15,13.0
16,16.0
17,16.0
18,10.0
19,16.0
20,18.0
21,16.0
22,15.0
23,19.0
24,14.0
25,17.0
26,15.0
27,18.0
28,15.0
29,14.0
30,19.0
31,16.0
32,16.0
33,14.0
34,15.0
35,20.0
36,23.0
37,18.0
38,16.0
39,18.0
40,13.0
41,18.0
42,15.0
43,18.0
44,18.0
45,16.0
46,19.0
47,12.0
48,21.0
49,15.0
50,15.0
51,15.0
52,16.0
53,12.0
54,14.0
55,14.0
56,17.0
57,16.0
58,18.0
59,17.0
60,15.0
61,14.0
62,16.0
63,17.0
64,20.0
65,18.0
66,18.0
67,16.0
68,15.0
69,14.0
70,11.0
71,15.0
72,19.0
73,12.0
74,16.0
75,18.0
76,14.0
77,15.0
78,11.0
79,14.0
80,14.0
81,17.0
82,16.0
83,11.0
84,16.0
85,14.0
86,18.0
87,16.0
88,17.0
89,12.0
90,11.0
91,16.0
92,19.0
93,18.0
94,17.0
95,20.0
96,13.0
97,18.0
98,24.0
99,11.0
