,peak transmission
0,17.0
1,14.0
2,15.0
3,10.0
4,12.0
5,11.0
6,11.0
7,10.0
8,10.0
9,8.0
10,12.0
11,13.0
12,13.0
13,10.0
14,11.0
15,10.0
16,13.0
17,10.0
18,9.0
19,10.0
20,10.0
21,13.0
22,11.0
23,15.0
24,11.0
25,15.0
26,10.0
27,15.0
28,11.0
29,10.0
30,11.0
31,12.0
32,14.0
33,8.0
34,10.0
35,11.0
36,15.0
37,8.0
38,11.0
39,10.0
40,15.0
41,14.0
42,14.0
43,18.0
44,13.0
45,11.0
46,13.0
47,9.0
48,9.0
49,14.0
50,13.0
51,14.0
52,13.0
53,8.0
54,13.0
55,7.0
56,12.0
57,6.0
58,8.0
59,12.0
60,14.0
61,12.0
62,14.0
63,14.0
64,13.0
65,8.0
66,14.0
67,9.0
68,11.0
69,14.0
70,13.0
71,11.0
72,9.0
73,11.0
74,9.0
75,13.0
76,12.0
77,12.0
78,12.0
79,12.0
80,13.0
81,9.0
82,9.0
83,7.0
84,10.0
85,10.0
86,14.0
87,12.0
88,12.0
89,6.0
90,9.0
91,13.0
92,12.0
93,15.0
94,11.0
95,12.0
96,6.0
97,10.0
98,10.0
99,18.0
