,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,81.0,31.0,14.0,24.0,1.0,5.0,6.0,0.0,0.0,126.0,76.0,5.0,1.0,3.0,9694.0,9532.0,177.0,66.0,5.0,10.0,30.0,38.27160493827161,17.28395061728395,29.62962962962963,1.2345679012345678,6.172839506172839,7.407407407407407,0.0,0.0
1,73.0,25.0,6.0,30.0,1.0,4.0,7.0,0.0,0.0,142.0,68.0,5.0,0.0,1.0,9872.0,9713.0,178.0,59.0,4.0,10.0,37.0,34.24657534246575,8.219178082191782,41.0958904109589,1.36986301369863,5.47945205479452,9.58904109589041,0.0,0.0
2,86.0,33.0,14.0,21.0,0.0,4.0,13.0,1.0,0.0,145.0,80.0,6.0,2.0,5.0,10000.0,9835.0,195.0,69.0,4.0,13.0,34.0,38.372093023255815,16.27906976744186,24.41860465116279,0.0,4.651162790697675,15.116279069767442,1.1627906976744187,0.0
3,64.0,24.0,8.0,20.0,1.0,5.0,4.0,2.0,0.0,127.0,56.0,8.0,1.0,1.0,10011.0,9851.0,167.0,50.0,6.0,8.0,24.0,37.5,12.5,31.25,1.5625,7.8125,6.25,3.125,0.0
4,83.0,35.0,14.0,21.0,1.0,2.0,7.0,3.0,0.0,112.0,75.0,8.0,0.0,6.0,9937.0,9773.0,167.0,65.0,7.0,11.0,28.0,42.16867469879518,16.867469879518072,25.301204819277107,1.2048192771084338,2.4096385542168677,8.433734939759036,3.6144578313253013,0.0
5,199.0,84.0,28.0,61.0,4.0,5.0,16.0,1.0,0.0,127.0,191.0,8.0,0.0,2.0,9881.0,9721.0,248.0,169.0,7.0,23.0,77.0,42.21105527638191,14.07035175879397,30.65326633165829,2.0100502512562812,2.512562814070352,8.040201005025125,0.5025125628140703,0.0
6,53.0,20.0,7.0,17.0,0.0,4.0,4.0,1.0,0.0,125.0,50.0,3.0,0.0,1.0,9995.0,9836.0,155.0,38.0,3.0,12.0,21.0,37.735849056603776,13.20754716981132,32.075471698113205,0.0,7.547169811320755,7.547169811320755,1.8867924528301887,0.0
7,62.0,26.0,6.0,19.0,1.0,4.0,5.0,1.0,0.0,136.0,53.0,9.0,0.0,1.0,9897.0,9738.0,173.0,45.0,6.0,11.0,24.0,41.935483870967744,9.67741935483871,30.64516129032258,1.6129032258064515,6.451612903225806,8.064516129032258,1.6129032258064515,0.0
8,127.0,47.0,19.0,40.0,0.0,4.0,14.0,3.0,0.0,148.0,122.0,5.0,0.0,2.0,9919.0,9759.0,221.0,112.0,5.0,10.0,54.0,37.00787401574803,14.960629921259843,31.496062992125985,0.0,3.1496062992125986,11.023622047244094,2.3622047244094486,0.0
9,78.0,23.0,8.0,19.0,3.0,6.0,12.0,7.0,0.0,134.0,75.0,3.0,0.0,1.0,10129.0,9970.0,180.0,67.0,1.0,10.0,31.0,29.487179487179485,10.256410256410257,24.358974358974358,3.8461538461538463,7.6923076923076925,15.384615384615385,8.974358974358974,0.0
10,85.0,36.0,14.0,25.0,1.0,1.0,6.0,1.0,1.0,110.0,76.0,9.0,0.0,5.0,9805.0,9642.0,163.0,66.0,8.0,11.0,31.0,42.35294117647059,16.470588235294116,29.41176470588235,1.1764705882352942,1.1764705882352942,7.0588235294117645,1.1764705882352942,1.1764705882352942
11,89.0,38.0,13.0,23.0,3.0,6.0,5.0,0.0,1.0,135.0,76.0,13.0,0.0,2.0,9865.0,9705.0,196.0,71.0,12.0,6.0,28.0,42.69662921348315,14.606741573033707,25.84269662921348,3.3707865168539324,6.741573033707865,5.617977528089888,0.0,1.1235955056179776
12,128.0,57.0,20.0,34.0,1.0,3.0,11.0,2.0,0.0,133.0,123.0,5.0,0.0,3.0,9849.0,9688.0,216.0,109.0,5.0,14.0,45.0,44.53125,15.625,26.5625,0.78125,2.34375,8.59375,1.5625,0.0
13,105.0,46.0,10.0,34.0,1.0,5.0,8.0,0.0,1.0,116.0,100.0,5.0,0.0,6.0,9840.0,9676.0,178.0,86.0,4.0,15.0,42.0,43.80952380952381,9.523809523809524,32.38095238095238,0.9523809523809523,4.761904761904762,7.619047619047619,0.0,0.9523809523809523
