,peak transmission
0,5.0
1,3.0
2,5.0
3,6.0
4,4.0
5,9.0
6,3.0
7,5.0
8,12.0
9,4.0
10,4.0
11,8.0
12,7.0
13,5.0
14,6.0
15,5.0
16,6.0
17,3.0
18,9.0
19,7.0
20,4.0
21,7.0
22,5.0
23,4.0
24,6.0
25,4.0
26,3.0
27,3.0
28,3.0
29,4.0
30,2.0
31,4.0
32,6.0
33,6.0
34,4.0
35,6.0
36,3.0
37,8.0
38,6.0
39,6.0
40,5.0
41,5.0
42,5.0
43,7.0
44,8.0
45,3.0
46,5.0
47,5.0
48,8.0
49,5.0
50,5.0
51,9.0
52,4.0
53,6.0
54,4.0
55,5.0
56,5.0
57,4.0
58,7.0
59,3.0
60,3.0
61,5.0
62,6.0
63,5.0
64,6.0
65,8.0
66,6.0
67,6.0
68,6.0
69,5.0
70,5.0
71,6.0
72,5.0
73,4.0
74,9.0
75,6.0
76,4.0
77,7.0
78,6.0
79,5.0
80,4.0
81,5.0
82,5.0
83,7.0
84,5.0
85,6.0
86,4.0
87,6.0
88,5.0
89,3.0
90,6.0
91,7.0
92,5.0
93,5.0
94,9.0
95,6.0
96,4.0
97,5.0
98,10.0
99,5.0
