,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,8.0
66,9.0
67,11.0
68,13.0
69,14.0
70,17.0
71,17.0
72,17.0
73,17.0
74,15.0
75,16.0
76,15.0
77,15.0
78,15.0
79,11.0
80,8.0
81,8.0
82,7.0
83,7.0
84,8.0
85,8.0
86,9.0
87,8.0
88,9.0
89,12.0
90,13.0
91,13.0
92,13.0
93,14.0
94,14.0
95,13.0
96,10.0
97,10.0
98,7.0
99,7.0
100,6.0
101,7.0
102,7.0
103,9.0
104,12.0
105,14.0
106,14.0
107,16.0
108,18.0
109,20.0
110,22.0
111,21.0
112,22.0
113,26.0
114,25.0
115,26.0
116,26.0
117,21.0
118,23.0
119,21.0
120,19.0
121,19.0
122,15.0
123,14.0
124,13.0
125,15.0
126,15.0
127,14.0
128,15.0
129,12.0
130,12.0
131,11.0
132,9.0
133,8.0
134,9.0
135,11.0
136,10.0
137,9.0
138,6.0
139,5.0
140,6.0
141,6.0
142,6.0
143,6.0
144,6.0
145,8.0
146,8.0
147,8.0
148,7.0
149,6.0
150,6.0
151,5.0
152,5.0
153,6.0
154,5.0
155,5.0
156,4.0
157,4.0
158,3.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,2.0
167,1.0
168,1.0
169,1.0
170,0.0
171,2.0
172,2.0
173,2.0
174,2.0
175,2.0
176,3.0
177,4.0
178,4.0
179,5.0
180,5.0
181,4.0
182,5.0
183,4.0
184,5.0
185,5.0
186,5.0
187,4.0
188,4.0
189,3.0
190,3.0
191,3.0
192,3.0
193,2.0
194,3.0
195,4.0
196,5.0
197,6.0
198,7.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,6.0
205,6.0
206,5.0
207,4.0
208,4.0
209,4.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
