,peak transmission
0,16.0
1,21.0
2,25.0
3,17.0
4,19.0
5,16.0
6,15.0
7,16.0
8,13.0
9,22.0
10,18.0
11,22.0
12,20.0
13,13.0
14,16.0
15,17.0
16,20.0
17,18.0
18,19.0
19,18.0
20,15.0
21,26.0
22,17.0
23,17.0
24,17.0
25,14.0
26,16.0
27,12.0
28,13.0
29,17.0
30,18.0
31,16.0
32,13.0
33,22.0
34,19.0
35,17.0
36,14.0
37,19.0
38,17.0
39,14.0
40,16.0
41,19.0
42,17.0
43,19.0
44,15.0
45,19.0
46,20.0
47,11.0
48,16.0
49,15.0
50,16.0
51,17.0
52,16.0
53,18.0
54,12.0
55,15.0
56,16.0
57,17.0
58,13.0
59,17.0
60,14.0
61,17.0
62,14.0
63,17.0
64,13.0
65,20.0
66,19.0
67,14.0
68,16.0
69,17.0
70,19.0
71,21.0
72,15.0
73,15.0
74,21.0
75,19.0
76,13.0
77,19.0
78,20.0
79,18.0
80,16.0
81,18.0
82,12.0
83,19.0
84,20.0
85,23.0
86,21.0
87,16.0
88,19.0
89,12.0
90,21.0
91,13.0
92,12.0
93,13.0
94,13.0
95,11.0
96,19.0
97,15.0
98,14.0
99,13.0
