,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_nrow,total_counts
0,0.4885245901639344,0.5161290322580645,0.7954545454545454,0.4,149.0,16.0,336,175.0,36.0,310,376.0
1,0.4358108108108108,0.5588235294117647,0.8177570093457944,0.34375,129.0,19.0,330,175.0,33.0,310,356.0
2,0.6213592233009708,0.5283018867924528,0.8926380368098159,0.4411764705882353,256.0,28.0,465,291.0,60.0,462,635.0
3,0.4864864864864865,0.5573770491803278,0.8523985239852399,0.5726495726495726,162.0,34.0,394,231.0,67.0,388,494.0
4,0.5585585585585585,0.6875,0.8764478764478765,0.25688073394495414,186.0,22.0,365,227.0,28.0,368,463.0
5,0.6131578947368421,0.25,0.9230769230769231,0.36585365853658536,233.0,9.0,416,252.0,45.0,396,539.0
6,0.6259946949602122,0.46296296296296297,0.893687707641196,0.3389830508474576,236.0,25.0,431,269.0,40.0,419,570.0
7,0.53954802259887,0.4393939393939394,0.959409594095941,0.46875,191.0,29.0,420,260.0,60.0,399,540.0
8,0.5302197802197802,0.3559322033898305,0.9568345323741008,0.44329896907216493,193.0,21.0,423,266.0,43.0,375,523.0
9,0.5294117647058824,0.5106382978723404,0.876,0.3619047619047619,171.0,24.0,370,219.0,38.0,355,452.0
10,0.47305389221556887,0.40476190476190477,0.9141630901287554,0.4095238095238095,158.0,17.0,376,213.0,43.0,338,431.0
11,0.5862068965517241,0.30952380952380953,0.8960573476702509,0.45132743362831856,221.0,13.0,419,250.0,51.0,392,535.0
12,0.5373563218390804,0.5714285714285714,0.8674698795180723,0.4074074074074074,187.0,24.0,390,216.0,44.0,357,471.0
13,0.5225988700564972,0.288135593220339,0.912,0.5203252032520326,185.0,17.0,413,228.0,64.0,373,494.0
14,0.5664739884393064,0.16279069767441862,0.9043824701195219,0.4126984126984127,196.0,7.0,389,227.0,52.0,377,482.0
15,0.6335227272727273,0.48717948717948717,0.8076923076923077,0.2457627118644068,223.0,19.0,391,231.0,29.0,404,502.0
