,peak transmission
0,12.0
1,14.0
2,16.0
3,13.0
4,13.0
5,13.0
6,16.0
7,11.0
8,13.0
9,16.0
10,13.0
11,10.0
12,10.0
13,11.0
14,8.0
15,15.0
16,14.0
17,18.0
18,12.0
19,17.0
20,16.0
21,14.0
22,8.0
23,10.0
24,12.0
25,8.0
26,16.0
27,13.0
28,10.0
29,12.0
30,9.0
31,12.0
32,13.0
33,11.0
34,13.0
35,18.0
36,15.0
37,17.0
38,13.0
39,16.0
40,18.0
41,15.0
42,16.0
43,14.0
44,12.0
45,12.0
46,19.0
47,12.0
48,13.0
49,16.0
50,14.0
51,17.0
52,9.0
53,12.0
54,12.0
55,14.0
56,17.0
57,11.0
58,18.0
59,12.0
60,13.0
61,12.0
62,8.0
63,12.0
64,15.0
65,16.0
66,13.0
67,8.0
68,16.0
69,16.0
70,13.0
71,18.0
72,18.0
73,12.0
74,15.0
75,18.0
76,15.0
77,11.0
78,17.0
79,9.0
80,10.0
81,9.0
82,11.0
83,9.0
84,11.0
85,9.0
86,9.0
87,10.0
88,13.0
89,10.0
90,17.0
91,8.0
92,11.0
93,9.0
94,16.0
95,17.0
96,8.0
97,13.0
98,7.0
99,16.0
