,total_screened,positive_detected,positivity_rate
0,11423.0,199.0,1.7420992733957805
1,11425.0,204.0,1.785557986870897
2,11481.0,298.0,2.5955927184043204
3,11461.0,264.0,2.3034639211238113
4,11445.0,233.0,2.035823503713412
5,11452.0,257.0,2.2441494935382464
6,11465.0,266.0,2.3201046663759266
7,11461.0,274.0,2.390716342378501
8,11452.0,228.0,1.9909186168354873
9,11427.0,213.0,1.8640063008663692
10,11431.0,216.0,1.8895984603271805
11,11465.0,252.0,2.1979938944614044
12,11456.0,252.0,2.1997206703910615
13,11437.0,244.0,2.1334265978840605
14,11427.0,215.0,1.881508707447274
15,11462.0,264.0,2.3032629558541267
16,11487.0,295.0,2.56812048402542
17,11458.0,264.0,2.3040670274044337
18,11428.0,220.0,1.9250962548127406
19,11447.0,236.0,2.0616755481785622
20,11500.0,327.0,2.8434782608695652
21,11465.0,257.0,2.2416048844308767
22,11432.0,211.0,1.8456962911126662
23,11426.0,228.0,1.9954489760196044
24,11424.0,214.0,1.873249299719888
25,11404.0,152.0,1.3328656611715188
26,11463.0,262.0,2.285614586059496
27,11448.0,235.0,2.0527603074772887
28,11441.0,229.0,2.00157328904816
29,11472.0,283.0,2.4668758716875874
30,11423.0,203.0,1.7771163442178062
31,11457.0,255.0,2.2257135375752815
32,11463.0,249.0,2.172206228735933
33,11456.0,263.0,2.295740223463687
34,11439.0,222.0,1.940729084710202
35,11475.0,280.0,2.440087145969499
36,11455.0,255.0,2.226102138804016
37,11462.0,280.0,2.442854650148316
38,11436.0,225.0,1.9674711437565582
39,11439.0,237.0,2.071859428271702
40,11415.0,200.0,1.7520805957074026
41,11443.0,228.0,1.992484488333479
42,11444.0,229.0,2.0010485844110453
43,11454.0,256.0,2.2350270647808625
44,11467.0,298.0,2.598761663905119
45,11454.0,250.0,2.182643617950061
46,11494.0,290.0,2.5230555072211587
47,11437.0,232.0,2.028503978315992
48,11475.0,273.0,2.3790849673202614
49,11433.0,216.0,1.8892679086853845
50,11454.0,248.0,2.1651824690064605
51,11463.0,255.0,2.224548547500654
52,11409.0,181.0,1.586466824436848
53,11461.0,255.0,2.2249367419945902
54,11425.0,211.0,1.8468271334792123
55,11460.0,253.0,2.2076788830715532
56,11463.0,288.0,2.5124313007066212
57,11457.0,270.0,2.356637863315004
58,11447.0,227.0,1.9830523281209052
59,11461.0,248.0,2.1638600471163074
60,11448.0,248.0,2.1663172606568835
61,11425.0,213.0,1.864332603938731
62,11434.0,227.0,1.9853069791848872
63,11432.0,222.0,1.9419174247725681
64,11453.0,224.0,1.955819435955645
65,11481.0,289.0,2.5172023342914382
66,11482.0,309.0,2.691168785925797
67,11433.0,217.0,1.8980145193737428
68,11475.0,298.0,2.596949891067538
69,11462.0,271.0,2.3643343221078346
70,11464.0,269.0,2.3464759246336357
71,11476.0,277.0,2.4137330080167305
72,11440.0,238.0,2.0804195804195804
73,11435.0,218.0,1.9064276344556188
74,11458.0,256.0,2.234246814452784
75,11457.0,255.0,2.2257135375752815
76,11467.0,267.0,2.3284206854451908
77,11466.0,252.0,2.197802197802198
78,11458.0,243.0,2.1207889684063534
79,11409.0,181.0,1.586466824436848
80,11425.0,205.0,1.7943107221006565
81,11438.0,215.0,1.8796992481203008
82,11452.0,236.0,2.060775410408662
83,11438.0,215.0,1.8796992481203008
84,11408.0,164.0,1.4375876577840112
85,11447.0,214.0,1.8694854547042894
86,11422.0,197.0,1.7247417264927334
87,11444.0,221.0,1.9311429570080392
88,11437.0,227.0,1.98478622016263
89,11461.0,245.0,2.1376843207399006
90,11454.0,257.0,2.243757639252663
91,11403.0,168.0,1.4732965009208103
92,11427.0,202.0,1.7677430646713923
93,11424.0,210.0,1.838235294117647
94,11444.0,233.0,2.036001398112548
95,11486.0,306.0,2.664112833014104
96,11411.0,172.0,1.5073175006572606
97,11455.0,255.0,2.226102138804016
98,11428.0,216.0,1.8900945047252362
99,11500.0,320.0,2.782608695652174
