,mean,ci_lower,ci_upper
181,5.7,4.0,9.0
182,5.64,4.0,9.0
183,5.56,4.0,9.0
184,5.5,4.0,9.0
185,5.42,4.0,8.524999999999991
186,5.41,4.0,9.0
187,5.41,4.0,8.524999999999991
188,5.38,4.0,8.524999999999991
189,5.34,4.0,8.0
190,5.32,4.0,8.0
191,5.3,4.0,8.0
192,5.26,4.0,8.0
193,5.23,4.0,8.0
194,5.22,4.0,7.5249999999999915
195,5.18,4.0,7.0
196,5.17,4.0,7.5249999999999915
197,5.13,4.0,7.0
198,5.14,4.0,7.0
199,5.06,4.0,7.0
200,5.02,4.0,7.0
201,4.94,4.0,7.0
202,4.93,4.0,7.0
203,4.89,4.0,7.0
204,5.85,5.0,8.0
205,5.85,5.0,8.0
206,5.88,5.0,8.0
207,5.85,5.0,8.524999999999991
208,5.81,5.0,8.0
209,5.81,5.0,8.0
210,5.76,5.0,8.0
211,5.74,5.0,8.0
212,5.72,5.0,8.0
213,5.71,5.0,8.0
214,4.72,4.0,7.0
215,4.73,4.0,7.0
216,5.72,5.0,8.0
217,5.73,5.0,8.524999999999991
218,5.76,5.0,9.0
219,5.72,5.0,9.0
220,5.7,5.0,8.524999999999991
221,5.66,5.0,8.0
222,5.69,5.0,8.0
223,5.67,5.0,8.0
224,5.7,5.0,8.0
225,5.71,5.0,8.524999999999991
226,5.71,5.0,8.0
227,4.69,4.0,7.0
228,4.69,4.0,7.0
229,4.7,4.0,7.0
230,4.7,4.0,7.0
231,4.72,4.0,7.0
232,3.71,3.0,6.5249999999999915
233,3.7,3.0,6.0
234,3.68,3.0,6.0
235,3.61,3.0,6.0
236,3.62,3.0,6.0
237,3.62,3.0,6.0
238,3.66,3.0,6.5249999999999915
