,peak transmission
0,11.0
1,17.0
2,16.0
3,12.0
4,14.0
5,10.0
6,13.0
7,10.0
8,15.0
9,11.0
10,11.0
11,8.0
12,10.0
13,9.0
14,10.0
15,14.0
16,13.0
17,14.0
18,10.0
19,11.0
20,13.0
21,13.0
22,13.0
23,14.0
24,9.0
25,9.0
26,14.0
27,8.0
28,12.0
29,10.0
30,24.0
31,13.0
32,14.0
33,10.0
34,10.0
35,15.0
36,20.0
37,15.0
38,14.0
39,16.0
40,15.0
41,10.0
42,10.0
43,11.0
44,17.0
45,9.0
46,12.0
47,12.0
48,16.0
49,14.0
50,12.0
51,12.0
52,9.0
53,11.0
54,13.0
55,19.0
56,14.0
57,17.0
58,10.0
59,12.0
60,10.0
61,14.0
62,11.0
63,13.0
64,12.0
65,13.0
66,12.0
67,15.0
68,11.0
69,17.0
70,12.0
71,16.0
72,12.0
73,11.0
74,11.0
75,17.0
76,15.0
77,13.0
78,11.0
79,17.0
80,10.0
81,14.0
82,13.0
83,13.0
84,12.0
85,10.0
86,9.0
87,10.0
88,9.0
89,17.0
90,20.0
91,13.0
92,16.0
93,14.0
94,11.0
95,10.0
96,10.0
97,9.0
98,19.0
99,12.0
