,peak transmission
0,6.0
1,6.0
2,6.0
3,8.0
4,5.0
5,10.0
6,8.0
7,7.0
8,6.0
9,11.0
10,6.0
11,7.0
12,8.0
13,7.0
14,7.0
15,5.0
16,10.0
17,7.0
18,9.0
19,7.0
20,8.0
21,7.0
22,6.0
23,7.0
24,5.0
25,6.0
26,5.0
27,9.0
28,5.0
29,8.0
30,7.0
31,6.0
32,11.0
33,8.0
34,9.0
35,6.0
36,7.0
37,7.0
38,6.0
39,5.0
40,4.0
41,8.0
42,6.0
43,7.0
44,9.0
45,11.0
46,6.0
47,8.0
48,10.0
49,10.0
50,4.0
51,6.0
52,6.0
53,7.0
54,5.0
55,8.0
56,11.0
57,8.0
58,6.0
59,6.0
60,9.0
61,7.0
62,5.0
63,8.0
64,9.0
65,4.0
66,7.0
67,7.0
68,9.0
69,7.0
70,8.0
71,8.0
72,8.0
73,8.0
74,5.0
75,10.0
76,6.0
77,6.0
78,7.0
79,5.0
80,5.0
81,6.0
82,7.0
83,5.0
84,9.0
85,6.0
86,7.0
87,7.0
88,8.0
89,9.0
90,8.0
91,6.0
92,7.0
93,10.0
94,7.0
95,5.0
96,6.0
97,4.0
98,4.0
99,10.0
