,peak transmission
0,5.0
1,7.0
2,7.0
3,10.0
4,7.0
5,8.0
6,9.0
7,9.0
8,6.0
9,5.0
10,11.0
11,8.0
12,6.0
13,8.0
14,6.0
15,7.0
16,11.0
17,7.0
18,7.0
19,7.0
20,5.0
21,6.0
22,8.0
23,14.0
24,9.0
25,11.0
26,7.0
27,8.0
28,6.0
29,9.0
30,7.0
31,5.0
32,7.0
33,7.0
34,12.0
35,9.0
36,8.0
37,6.0
38,7.0
39,7.0
40,13.0
41,8.0
42,6.0
43,6.0
44,8.0
45,9.0
46,8.0
47,11.0
48,5.0
49,9.0
50,8.0
51,11.0
52,12.0
53,6.0
54,4.0
55,9.0
56,9.0
57,8.0
58,12.0
59,7.0
60,7.0
61,8.0
62,8.0
63,9.0
64,5.0
65,9.0
66,7.0
67,7.0
68,7.0
69,6.0
70,8.0
71,5.0
72,5.0
73,9.0
74,11.0
75,6.0
76,9.0
77,7.0
78,5.0
79,7.0
80,7.0
81,7.0
82,8.0
83,4.0
84,9.0
85,9.0
86,6.0
87,6.0
88,4.0
89,7.0
90,9.0
91,6.0
92,6.0
93,8.0
94,7.0
95,7.0
96,8.0
97,8.0
98,6.0
99,10.0
