,susceptible,exposed,mild,severe,recovered,asymptomatic
0,666.0,0.0,0.0,0.0,0.0,0.0
1,666.0,0.0,0.0,0.0,0.0,0.0
2,666.0,0.0,0.0,0.0,0.0,0.0
3,666.0,0.0,0.0,0.0,0.0,0.0
4,666.0,0.0,0.0,0.0,0.0,0.0
5,666.0,0.0,0.0,0.0,0.0,0.0
6,666.0,0.0,0.0,0.0,0.0,0.0
7,666.0,0.0,0.0,0.0,0.0,0.0
8,666.0,0.0,0.0,0.0,0.0,0.0
9,666.0,0.0,0.0,0.0,0.0,0.0
10,666.0,0.0,0.0,0.0,0.0,0.0
11,666.0,0.0,0.0,0.0,0.0,0.0
12,666.0,0.0,0.0,0.0,0.0,0.0
13,666.0,0.0,0.0,0.0,0.0,0.0
14,666.0,0.0,0.0,0.0,0.0,0.0
15,666.0,0.0,0.0,0.0,0.0,0.0
16,666.0,0.0,0.0,0.0,0.0,0.0
17,666.0,0.0,0.0,0.0,0.0,0.0
18,666.0,0.0,0.0,0.0,0.0,0.0
19,666.0,0.0,0.0,0.0,0.0,0.0
20,666.0,0.0,0.0,0.0,0.0,0.0
21,666.0,0.0,0.0,0.0,0.0,0.0
22,666.0,0.0,0.0,0.0,0.0,0.0
23,666.0,0.0,0.0,0.0,0.0,0.0
24,666.0,0.0,0.0,0.0,0.0,0.0
25,666.0,0.0,0.0,0.0,0.0,0.0
26,666.0,0.0,0.0,0.0,0.0,0.0
27,666.0,0.0,0.0,0.0,0.0,0.0
28,666.0,0.0,0.0,0.0,0.0,0.0
29,666.0,0.0,0.0,0.0,0.0,0.0
30,666.0,0.0,0.0,0.0,0.0,0.0
31,666.0,0.0,0.0,0.0,0.0,0.0
32,666.0,0.0,0.0,0.0,0.0,0.0
33,666.0,0.0,0.0,0.0,0.0,0.0
34,666.0,0.0,0.0,0.0,0.0,0.0
35,666.0,0.0,0.0,0.0,0.0,0.0
36,666.0,0.0,0.0,0.0,0.0,0.0
37,666.0,0.0,0.0,0.0,0.0,0.0
38,666.0,0.0,0.0,0.0,0.0,0.0
39,666.0,0.0,0.0,0.0,0.0,0.0
40,666.0,0.0,0.0,0.0,0.0,0.0
41,666.0,0.0,0.0,0.0,0.0,0.0
42,666.0,0.0,0.0,0.0,0.0,0.0
43,666.0,0.0,0.0,0.0,0.0,0.0
44,666.0,0.0,0.0,0.0,0.0,0.0
45,666.0,0.0,0.0,0.0,0.0,0.0
46,666.0,0.0,0.0,0.0,0.0,0.0
47,666.0,0.0,0.0,0.0,0.0,0.0
48,666.0,0.0,0.0,0.0,0.0,0.0
49,666.0,0.0,0.0,0.0,0.0,0.0
50,666.0,0.0,0.0,0.0,0.0,0.0
51,666.0,0.0,0.0,0.0,0.0,0.0
52,666.0,0.0,0.0,0.0,0.0,0.0
53,666.0,0.0,0.0,0.0,0.0,0.0
54,666.0,0.0,0.0,0.0,0.0,0.0
55,666.0,0.0,0.0,0.0,0.0,0.0
56,666.0,0.0,0.0,0.0,0.0,0.0
57,666.0,0.0,0.0,0.0,0.0,0.0
58,666.0,0.0,0.0,0.0,0.0,0.0
59,666.0,0.0,0.0,0.0,0.0,0.0
60,665.86,0.12,0.0,0.0,0.0,0.02
61,665.66,0.27,0.0,0.0,0.0,0.07
62,665.28,0.55,0.0,0.0,0.0,0.17
63,664.93,0.73,0.01,0.0,0.0,0.34
64,664.49,1.01,0.04,0.03,0.0,0.5
65,664.03,1.28,0.12,0.03,0.0,0.69
66,663.63,1.45,0.28,0.06,0.0,0.93
67,663.13,1.7,0.45,0.13,0.0,1.19
68,662.31,2.32,0.57,0.17,0.0,1.43
69,661.46,2.9,0.85,0.2,0.0,1.76
70,660.38,3.55,1.11,0.26,0.01,2.24
71,659.52,4.1,1.55,0.34,0.07,2.57
72,658.31,4.75,1.87,0.46,0.15,3.15
73,656.98,5.53,2.22,0.58,0.35,3.67
74,655.84,5.93,2.86,0.7,0.6,4.44
75,654.35,6.62,3.54,0.89,0.81,5.19
76,652.45,7.57,4.2,1.07,1.2,6.03
77,650.67,8.34,4.95,1.21,1.66,6.82
78,648.08,9.25,5.51,1.4,2.51,7.88
79,646.18,9.86,6.71,1.57,3.21,8.87
80,643.49,11.03,7.35,1.78,4.12,9.79
81,640.38,12.23,7.95,2.07,5.52,10.5
82,637.57,13.06,8.89,2.37,6.84,11.45
83,634.47,13.73,9.98,2.65,8.39,12.61
84,631.36,14.44,11.06,2.99,10.03,13.67
85,627.94,15.21,12.1,3.2,11.97,14.79
86,624.65,15.45,12.68,3.52,14.38,15.95
87,621.85,15.85,14.05,3.82,16.58,16.66
88,619.01,15.86,14.91,3.93,19.1,17.35
89,615.57,15.96,15.73,4.13,22.17,17.98
90,612.39,15.69,16.52,4.21,25.72,18.27
91,609.21,15.19,17.24,4.2,29.4,18.66
92,607.02,14.26,18.15,4.35,33.11,18.72
93,603.53,13.83,18.44,4.27,37.38,18.56
94,599.98,13.35,18.49,4.31,41.97,18.36
95,596.19,13.25,18.25,4.32,46.12,18.13
96,592.31,12.77,17.97,4.16,50.52,18.33
97,588.47,12.03,17.44,4.18,55.27,18.04
98,584.78,11.5,16.89,4.27,60.16,17.54
99,580.6,10.89,15.92,4.24,65.54,16.89
100,576.73,10.74,15.24,4.24,70.34,16.08
101,573.34,9.95,14.69,4.0,75.21,15.26
102,569.88,10.01,14.22,3.89,79.07,14.8
103,566.59,9.69,13.57,3.72,83.38,14.16
104,563.86,9.02,13.21,3.61,87.5,13.73
105,560.36,8.79,12.29,3.4,91.68,13.18
106,557.11,8.53,11.88,3.11,95.48,12.86
107,554.9,7.92,11.73,2.96,98.96,12.26
108,551.94,7.76,10.87,2.89,102.52,11.81
109,549.5,7.52,10.53,2.72,105.69,11.33
110,547.39,7.17,10.2,2.64,108.73,10.81
111,544.87,6.64,9.58,2.54,112.45,10.02
112,543.21,5.96,9.48,2.57,115.11,9.62
113,541.06,5.69,8.88,2.53,117.99,9.24
114,539.06,5.23,8.37,2.36,120.96,8.72
115,537.94,4.54,8.3,2.22,123.38,8.07
116,536.33,4.29,7.92,2.01,125.61,7.7
117,534.89,3.77,7.5,1.87,128.06,7.21
118,533.35,3.44,6.92,1.71,130.51,6.66
119,531.52,3.27,6.29,1.43,132.85,6.29
120,530.09,3.04,5.89,1.3,134.92,5.87
121,528.4,3.1,5.16,1.27,137.02,5.37
122,527.02,2.89,4.58,1.16,138.89,5.03
123,525.63,3.02,4.11,1.11,140.36,4.73
124,524.3,3.0,3.68,1.06,141.99,4.38
125,523.06,3.06,3.43,1.01,143.42,4.04
126,521.97,3.09,3.31,0.95,144.7,3.76
127,521.05,3.03,3.14,0.9,146.0,3.37
128,520.32,2.81,3.21,0.84,146.96,3.33
129,519.86,2.52,3.09,0.82,147.89,3.15
130,519.59,2.34,3.21,0.86,148.56,3.04
131,519.27,1.94,3.37,0.86,149.45,2.95
132,518.5,1.89,3.19,0.81,150.32,2.9
133,517.74,1.86,2.93,0.8,151.1,2.93
134,517.09,1.87,2.71,0.77,151.95,2.73
135,516.48,1.78,2.52,0.75,152.79,2.63
136,515.77,1.76,2.39,0.73,153.62,2.49
137,515.23,1.55,2.26,0.75,154.41,2.45
138,514.11,1.7,1.77,0.67,155.49,2.26
139,513.71,1.6,1.73,0.62,156.04,2.23
140,513.12,1.63,1.75,0.57,156.56,2.21
141,512.63,1.61,1.81,0.55,157.1,2.15
142,512.24,1.56,1.8,0.48,157.68,2.02
143,511.81,1.56,1.75,0.46,158.2,1.93
144,511.37,1.38,1.71,0.43,158.77,1.98
145,511.21,1.34,1.79,0.46,159.09,1.91
146,510.88,1.26,1.74,0.46,159.56,1.85
147,510.57,1.26,1.69,0.47,160.03,1.74
148,510.22,1.18,1.67,0.45,160.51,1.72
149,509.9,1.13,1.57,0.47,160.95,1.62
150,509.5,1.14,1.48,0.42,161.41,1.55
151,509.15,0.99,1.4,0.42,162.03,1.39
152,508.7,1.07,1.32,0.34,162.46,1.29
153,508.66,0.84,1.34,0.32,162.89,1.18
154,508.35,0.82,1.29,0.3,163.29,1.1
155,508.16,0.69,1.17,0.3,163.7,1.0
156,507.96,0.6,1.13,0.27,164.05,0.95
157,507.97,0.45,1.2,0.24,164.29,0.89
158,507.8,0.29,1.1,0.18,164.7,0.84
159,507.73,0.26,1.03,0.21,164.89,0.78
160,507.38,0.27,0.83,0.18,165.3,0.66
161,507.2,0.19,0.75,0.17,165.55,0.66
162,506.99,0.19,0.65,0.12,165.8,0.61
163,506.8,0.19,0.55,0.1,166.07,0.52
164,506.53,0.19,0.37,0.12,166.32,0.5
165,506.37,0.19,0.25,0.09,166.57,0.41
166,506.18,0.24,0.23,0.08,166.71,0.38
167,506.14,0.21,0.25,0.06,166.79,0.37
168,505.98,0.27,0.19,0.05,166.93,0.33
169,505.94,0.26,0.19,0.07,166.99,0.31
170,505.82,0.33,0.18,0.08,167.06,0.29
171,505.67,0.41,0.2,0.06,167.13,0.29
172,505.57,0.44,0.21,0.07,167.17,0.31
173,505.45,0.47,0.23,0.05,167.23,0.34
174,505.48,0.37,0.28,0.09,167.3,0.34
175,505.45,0.34,0.31,0.11,167.34,0.38
176,505.37,0.33,0.34,0.1,167.44,0.37
177,505.27,0.35,0.37,0.12,167.49,0.4
178,505.19,0.37,0.38,0.12,167.54,0.41
179,505.08,0.42,0.36,0.12,167.61,0.39
180,504.97,0.43,0.37,0.14,167.67,0.45
181,504.77,0.46,0.34,0.11,167.83,0.47
182,504.69,0.43,0.39,0.09,167.94,0.47
183,504.57,0.46,0.35,0.1,168.01,0.51
184,504.67,0.33,0.46,0.09,168.12,0.49
185,504.63,0.33,0.48,0.11,168.16,0.5
186,504.57,0.34,0.51,0.13,168.23,0.49
187,504.44,0.35,0.49,0.12,168.34,0.49
188,504.33,0.32,0.47,0.12,168.48,0.48
189,504.18,0.32,0.42,0.13,168.62,0.48
190,504.01,0.41,0.42,0.12,168.69,0.48
191,503.7,0.49,0.33,0.11,168.95,0.44
192,503.59,0.48,0.31,0.09,169.09,0.41
193,503.47,0.46,0.35,0.09,169.19,0.44
194,503.46,0.4,0.38,0.1,169.26,0.46
195,503.36,0.42,0.43,0.1,169.35,0.45
196,503.26,0.42,0.46,0.09,169.47,0.43
197,503.26,0.37,0.49,0.11,169.51,0.46
198,503.13,0.38,0.46,0.12,169.62,0.45
199,503.13,0.31,0.53,0.15,169.66,0.48
200,503.05,0.3,0.51,0.15,169.8,0.5
201,502.86,0.32,0.5,0.14,169.92,0.54
202,502.71,0.37,0.44,0.15,170.06,0.53
203,502.6,0.39,0.38,0.15,170.19,0.49
204,502.42,0.46,0.35,0.13,170.3,0.48
205,502.29,0.51,0.35,0.15,170.4,0.46
206,502.14,0.5,0.31,0.14,170.57,0.46
207,501.94,0.54,0.31,0.14,170.7,0.47
208,501.78,0.57,0.3,0.14,170.86,0.44
209,501.72,0.53,0.39,0.13,170.93,0.48
210,501.56,0.62,0.44,0.15,170.98,0.52
211,501.37,0.7,0.52,0.16,171.06,0.55
212,501.21,0.73,0.56,0.14,171.17,0.57
213,501.15,0.64,0.64,0.13,171.27,0.61
214,500.97,0.66,0.66,0.13,171.38,0.66
215,500.87,0.72,0.72,0.15,171.47,0.66
216,500.6,0.73,0.73,0.18,171.69,0.72
217,500.37,0.75,0.75,0.17,171.82,0.82
218,500.13,0.8,0.72,0.16,171.94,0.91
219,500.04,0.75,0.81,0.17,172.06,0.96
220,499.96,0.69,0.86,0.17,172.25,0.97
221,499.85,0.69,0.84,0.17,172.37,0.98
222,499.64,0.67,0.85,0.16,172.61,0.93
223,499.44,0.61,0.86,0.17,172.85,0.95
224,499.18,0.68,0.83,0.19,173.02,0.95
225,499.0,0.69,0.88,0.2,173.19,0.94
226,498.78,0.63,0.79,0.22,173.45,0.94
227,498.46,0.67,0.68,0.24,173.72,0.96
228,498.28,0.72,0.73,0.22,173.89,0.94
229,497.91,0.87,0.66,0.21,174.04,1.01
230,497.63,0.95,0.61,0.18,174.27,1.04
231,497.5,0.91,0.74,0.17,174.53,0.95
232,497.21,0.96,0.79,0.17,174.77,1.0
233,497.14,0.93,0.85,0.15,174.99,0.95
234,496.97,0.93,0.87,0.14,175.17,0.93
235,496.79,0.92,0.92,0.17,175.35,0.95
236,496.75,0.84,1.02,0.18,175.45,0.98
237,496.74,0.67,1.15,0.23,175.64,0.96
238,496.46,0.67,1.06,0.24,175.9,0.98
