,peak transmission
0,3.0
1,4.0
2,2.0
3,2.0
4,2.0
5,5.0
6,2.0
7,4.0
8,3.0
9,2.0
10,2.0
11,4.0
12,4.0
13,3.0
14,2.0
15,3.0
16,2.0
17,2.0
18,3.0
19,3.0
20,4.0
21,2.0
22,2.0
23,4.0
24,4.0
25,2.0
26,2.0
27,3.0
28,2.0
29,2.0
30,3.0
31,6.0
32,2.0
33,3.0
34,3.0
35,3.0
36,4.0
37,3.0
38,4.0
39,4.0
40,3.0
41,2.0
42,2.0
43,4.0
44,3.0
45,4.0
46,2.0
47,2.0
48,5.0
49,2.0
50,5.0
51,3.0
52,2.0
53,3.0
54,3.0
55,3.0
56,3.0
57,3.0
58,3.0
59,4.0
60,3.0
61,3.0
62,3.0
63,4.0
64,3.0
65,3.0
66,3.0
67,2.0
68,3.0
69,2.0
70,5.0
71,3.0
72,2.0
73,2.0
74,4.0
75,3.0
76,3.0
77,4.0
78,3.0
79,3.0
80,4.0
81,4.0
82,5.0
83,4.0
84,3.0
85,4.0
86,2.0
87,2.0
88,3.0
89,3.0
90,2.0
91,3.0
92,2.0
93,3.0
94,3.0
95,2.0
96,3.0
97,4.0
98,3.0
99,2.0
