,peak transmission
0,2.0
1,2.0
2,2.0
3,1.0
4,1.0
5,2.0
6,2.0
7,2.0
8,2.0
9,1.0
10,1.0
11,1.0
12,2.0
13,2.0
14,1.0
15,2.0
16,1.0
17,1.0
18,1.0
19,1.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,1.0
26,2.0
27,3.0
28,2.0
29,2.0
30,2.0
31,2.0
32,1.0
33,1.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,1.0
41,3.0
42,1.0
43,2.0
44,1.0
45,2.0
46,2.0
47,1.0
48,2.0
49,1.0
50,1.0
51,1.0
52,1.0
53,2.0
54,1.0
55,2.0
56,2.0
57,1.0
58,3.0
59,2.0
60,2.0
61,2.0
62,1.0
63,2.0
64,2.0
65,2.0
66,2.0
67,1.0
68,1.0
69,1.0
70,2.0
71,1.0
72,2.0
73,1.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,1.0
80,1.0
81,3.0
82,1.0
83,2.0
84,1.0
85,1.0
86,2.0
87,2.0
88,2.0
89,2.0
90,2.0
91,1.0
92,2.0
93,2.0
94,2.0
95,1.0
96,2.0
97,1.0
98,2.0
99,2.0
