,peak transmission
0,17.0
1,14.0
2,11.0
3,11.0
4,10.0
5,9.0
6,14.0
7,15.0
8,14.0
9,11.0
10,9.0
11,14.0
12,11.0
13,10.0
14,10.0
15,11.0
16,11.0
17,9.0
18,12.0
19,13.0
20,15.0
21,12.0
22,12.0
23,9.0
24,10.0
25,11.0
26,13.0
27,13.0
28,12.0
29,13.0
30,10.0
31,13.0
32,17.0
33,14.0
34,9.0
35,11.0
36,18.0
37,11.0
38,9.0
39,9.0
40,9.0
41,10.0
42,12.0
43,15.0
44,13.0
45,20.0
46,14.0
47,12.0
48,9.0
49,13.0
50,13.0
51,12.0
52,16.0
53,10.0
54,11.0
55,13.0
56,12.0
57,12.0
58,11.0
59,10.0
60,13.0
61,9.0
62,11.0
63,15.0
64,11.0
65,8.0
66,11.0
67,12.0
68,14.0
69,11.0
70,13.0
71,13.0
72,12.0
73,11.0
74,18.0
75,15.0
76,14.0
77,11.0
78,10.0
79,15.0
80,8.0
81,11.0
82,15.0
83,14.0
84,14.0
85,12.0
86,13.0
87,8.0
88,16.0
89,10.0
90,14.0
91,13.0
92,16.0
93,12.0
94,9.0
95,11.0
96,14.0
97,10.0
98,15.0
99,9.0
