,peak transmission
0,20.0
1,15.0
2,17.0
3,12.0
4,11.0
5,10.0
6,18.0
7,16.0
8,15.0
9,9.0
10,8.0
11,12.0
12,11.0
13,10.0
14,11.0
15,12.0
16,12.0
17,12.0
18,13.0
19,14.0
20,16.0
21,13.0
22,14.0
23,11.0
24,13.0
25,12.0
26,10.0
27,13.0
28,15.0
29,13.0
30,9.0
31,16.0
32,21.0
33,15.0
34,11.0
35,13.0
36,16.0
37,10.0
38,10.0
39,10.0
40,12.0
41,16.0
42,14.0
43,14.0
44,12.0
45,20.0
46,16.0
47,15.0
48,10.0
49,12.0
50,15.0
51,13.0
52,15.0
53,9.0
54,14.0
55,12.0
56,16.0
57,11.0
58,14.0
59,12.0
60,12.0
61,11.0
62,13.0
63,18.0
64,14.0
65,8.0
66,14.0
67,13.0
68,13.0
69,13.0
70,14.0
71,13.0
72,10.0
73,14.0
74,19.0
75,19.0
76,16.0
77,11.0
78,14.0
79,14.0
80,11.0
81,11.0
82,19.0
83,17.0
84,14.0
85,9.0
86,12.0
87,8.0
88,16.0
89,13.0
90,12.0
91,13.0
92,16.0
93,11.0
94,12.0
95,15.0
96,16.0
97,14.0
98,12.0
99,9.0
