,n_contacts_traced,n_pos_contacts,positivity_rate
0,3502.0,482.0,13.763563677898343
1,3214.0,400.0,12.445550715619166
2,3871.0,663.0,17.12735727202273
3,2989.0,401.0,13.415858146537303
4,3401.0,420.0,12.349309026756837
5,2711.0,269.0,9.922537808926595
6,3036.0,434.0,14.295125164690383
7,2860.0,379.0,13.251748251748252
8,3271.0,538.0,16.44756955059615
9,3673.0,605.0,16.471549142390415
10,3240.0,406.0,12.530864197530864
11,2976.0,396.0,13.306451612903226
12,3410.0,476.0,13.958944281524927
13,2771.0,357.0,12.883435582822086
14,2883.0,395.0,13.701005896635449
15,2467.0,273.0,11.066072152411836
16,2578.0,343.0,13.30488750969744
17,2951.0,372.0,12.605896306336835
18,3733.0,665.0,17.814090543798553
19,3259.0,513.0,15.741024854249769
20,3127.0,395.0,12.63191557403262
21,3105.0,416.0,13.397745571658616
22,3674.0,553.0,15.051714752313554
23,2953.0,430.0,14.561462919065358
24,2972.0,404.0,13.593539703903096
25,3190.0,494.0,15.4858934169279
26,3209.0,532.0,16.57837332502337
27,3126.0,412.0,13.179782469609725
28,3594.0,485.0,13.494713411240957
29,3046.0,355.0,11.65462902166776
30,3514.0,563.0,16.021627774615823
31,2522.0,284.0,11.2609040444092
32,3173.0,464.0,14.62338480932871
33,3283.0,438.0,13.341455985379227
34,3272.0,427.0,13.050122249388753
35,3344.0,508.0,15.191387559808613
36,3646.0,485.0,13.302249040043884
37,3171.0,482.0,15.200252286345002
38,2409.0,267.0,11.083437110834371
39,2532.0,334.0,13.191153238546603
40,2879.0,348.0,12.087530392497396
41,3016.0,371.0,12.301061007957559
42,3194.0,386.0,12.08515967438948
43,2732.0,374.0,13.689604685212299
44,2928.0,359.0,12.260928961748634
45,3273.0,389.0,11.885120684387411
46,2988.0,382.0,12.784471218206159
47,3689.0,554.0,15.017619951206289
48,3441.0,563.0,16.361522813135718
49,2908.0,422.0,14.51169188445667
50,3488.0,476.0,13.646788990825687
51,3075.0,427.0,13.886178861788618
52,3448.0,498.0,14.443155452436194
53,3387.0,522.0,15.411868910540301
54,3171.0,438.0,13.81267738883633
55,2969.0,427.0,14.381946783428765
56,3036.0,419.0,13.801054018445322
57,3098.0,473.0,15.26791478373144
58,2717.0,376.0,13.838792786161207
59,2962.0,398.0,13.436866981769075
60,2795.0,322.0,11.520572450805009
61,2735.0,366.0,13.382084095063986
62,3648.0,619.0,16.968201754385966
63,3230.0,439.0,13.591331269349846
64,2408.0,259.0,10.755813953488373
65,3185.0,510.0,16.012558869701728
66,3751.0,543.0,14.476139696081045
67,3113.0,503.0,16.15804690009637
68,3120.0,468.0,15.0
69,2817.0,344.0,12.211572594959176
70,2702.0,316.0,11.695040710584752
71,3024.0,467.0,15.443121693121693
72,2776.0,321.0,11.563400576368876
73,4060.0,628.0,15.467980295566502
74,3530.0,472.0,13.371104815864022
75,2974.0,434.0,14.593140551445865
76,2879.0,359.0,12.46960750260507
77,2834.0,374.0,13.196894848270995
78,2768.0,352.0,12.716763005780347
79,3041.0,420.0,13.811246300559027
80,3196.0,471.0,14.737171464330412
81,3442.0,490.0,14.235909355026148
82,3429.0,561.0,16.36045494313211
83,2927.0,422.0,14.417492312948411
84,3114.0,444.0,14.258188824662813
85,3241.0,485.0,14.964517124344338
86,2771.0,384.0,13.857813063875858
87,2843.0,443.0,15.582131551178334
88,2731.0,355.0,12.998901501281582
89,3620.0,467.0,12.900552486187845
90,2919.0,387.0,13.257965056526208
91,2691.0,388.0,14.418431809736157
92,3143.0,526.0,16.735602927139677
93,3248.0,476.0,14.655172413793103
94,3110.0,441.0,14.180064308681672
95,2471.0,291.0,11.776608660461351
96,2907.0,339.0,11.661506707946337
97,2597.0,274.0,10.550635348479014
98,2759.0,426.0,15.440376948169627
99,3223.0,430.0,13.341607198262489
