,peak transmission
0,8.0
1,8.0
2,10.0
3,10.0
4,14.0
5,8.0
6,8.0
7,9.0
8,8.0
9,12.0
10,6.0
11,7.0
12,12.0
13,7.0
14,7.0
15,10.0
16,8.0
17,15.0
18,13.0
19,9.0
20,9.0
21,8.0
22,10.0
23,12.0
24,8.0
25,13.0
26,8.0
27,11.0
28,7.0
29,10.0
30,12.0
31,7.0
32,12.0
33,7.0
34,11.0
35,7.0
36,11.0
37,9.0
38,8.0
39,7.0
40,9.0
41,9.0
42,8.0
43,10.0
44,8.0
45,15.0
46,12.0
47,12.0
48,7.0
49,11.0
50,9.0
51,13.0
52,7.0
53,12.0
54,8.0
55,7.0
56,10.0
57,9.0
58,9.0
59,10.0
60,10.0
61,11.0
62,19.0
63,8.0
64,6.0
65,8.0
66,9.0
67,10.0
68,12.0
69,9.0
70,8.0
71,13.0
72,8.0
73,12.0
74,9.0
75,10.0
76,12.0
77,10.0
78,9.0
79,10.0
80,11.0
81,9.0
82,10.0
83,12.0
84,9.0
85,8.0
86,8.0
87,11.0
88,7.0
89,12.0
90,8.0
91,6.0
92,7.0
93,15.0
94,9.0
95,9.0
96,8.0
97,8.0
98,10.0
99,12.0
