,peak transmission
0,12.0
1,8.0
2,11.0
3,9.0
4,14.0
5,7.0
6,8.0
7,9.0
8,12.0
9,11.0
10,8.0
11,9.0
12,12.0
13,6.0
14,9.0
15,10.0
16,7.0
17,11.0
18,12.0
19,10.0
20,9.0
21,8.0
22,12.0
23,8.0
24,12.0
25,7.0
26,12.0
27,11.0
28,7.0
29,9.0
30,10.0
31,7.0
32,7.0
33,7.0
34,10.0
35,8.0
36,9.0
37,9.0
38,8.0
39,9.0
40,9.0
41,7.0
42,6.0
43,8.0
44,8.0
45,15.0
46,11.0
47,11.0
48,10.0
49,9.0
50,9.0
51,8.0
52,7.0
53,8.0
54,7.0
55,8.0
56,9.0
57,10.0
58,8.0
59,8.0
60,8.0
61,11.0
62,16.0
63,10.0
64,8.0
65,11.0
66,7.0
67,7.0
68,11.0
69,8.0
70,6.0
71,8.0
72,9.0
73,9.0
74,10.0
75,7.0
76,8.0
77,7.0
78,8.0
79,9.0
80,7.0
81,7.0
82,11.0
83,14.0
84,11.0
85,8.0
86,11.0
87,10.0
88,7.0
89,11.0
90,9.0
91,8.0
92,13.0
93,9.0
94,11.0
95,11.0
96,7.0
97,10.0
98,7.0
99,9.0
