,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,2
75,2
76,3
77,4
78,4
79,4
80,5
81,6
82,8
83,9
84,11
85,14
86,14
87,14
88,18
89,20
90,21
91,24
92,26
93,28
94,29
95,30
96,33
97,34
98,34
99,35
100,35
101,35
102,35
103,35
104,35
105,36
106,37
107,37
108,37
109,39
110,41
111,42
112,44
113,45
114,45
115,45
116,46
117,46
118,47
119,48
120,48
121,50
122,50
123,50
124,51
125,51
126,51
127,53
128,53
129,53
130,53
131,53
132,53
133,55
134,56
135,57
136,58
137,58
138,58
139,58
140,58
141,58
142,58
143,58
144,58
145,58
146,58
147,58
148,58
149,59
150,59
151,59
152,60
153,60
154,60
155,60
156,60
157,60
158,60
159,60
160,61
161,62
162,62
163,62
164,62
165,63
166,63
167,63
168,63
169,63
170,63
171,63
172,63
173,63
174,63
175,63
176,63
177,63
178,63
179,63
180,63
181,63
182,63
183,63
184,63
185,63
186,63
187,63
188,63
189,63
190,63
191,63
192,63
193,63
194,63
195,63
196,63
197,63
198,63
199,63
200,63
201,63
202,63
203,63
204,64
205,64
206,64
207,64
208,64
209,64
210,64
211,64
212,64
213,64
214,65
215,66
216,68
217,68
218,69
219,69
220,69
221,69
222,69
223,69
224,69
225,69
226,70
227,70
228,70
229,70
230,70
231,70
232,70
233,70
234,70
235,70
236,70
237,70
238,70
