,peak transmission
0,4.0
1,4.0
2,3.0
3,2.0
4,4.0
5,3.0
6,3.0
7,4.0
8,6.0
9,5.0
10,3.0
11,2.0
12,5.0
13,3.0
14,4.0
15,6.0
16,4.0
17,4.0
18,5.0
19,4.0
20,5.0
21,6.0
22,4.0
23,5.0
24,8.0
25,6.0
26,4.0
27,8.0
28,5.0
29,5.0
30,6.0
31,4.0
32,5.0
33,5.0
34,3.0
35,6.0
36,3.0
37,3.0
38,5.0
39,3.0
40,3.0
41,3.0
42,4.0
43,6.0
44,4.0
45,4.0
46,7.0
47,4.0
48,3.0
49,5.0
50,2.0
51,5.0
52,3.0
53,3.0
54,7.0
55,5.0
56,4.0
57,7.0
58,4.0
59,5.0
60,4.0
61,5.0
62,2.0
63,3.0
64,7.0
65,4.0
66,5.0
67,7.0
68,3.0
69,4.0
70,5.0
71,4.0
72,4.0
73,3.0
74,5.0
75,5.0
76,4.0
77,5.0
78,5.0
79,5.0
80,3.0
81,3.0
82,6.0
83,3.0
84,3.0
85,5.0
86,2.0
87,3.0
88,5.0
89,4.0
90,3.0
91,5.0
92,6.0
93,8.0
94,4.0
95,4.0
96,4.0
97,6.0
98,7.0
99,5.0
