,peak transmission
0,6.0
1,3.0
2,5.0
3,3.0
4,4.0
5,4.0
6,6.0
7,4.0
8,5.0
9,8.0
10,3.0
11,3.0
12,4.0
13,4.0
14,5.0
15,5.0
16,6.0
17,5.0
18,9.0
19,5.0
20,5.0
21,7.0
22,4.0
23,5.0
24,8.0
25,4.0
26,5.0
27,6.0
28,5.0
29,4.0
30,7.0
31,4.0
32,8.0
33,4.0
34,4.0
35,7.0
36,5.0
37,5.0
38,6.0
39,5.0
40,4.0
41,4.0
42,3.0
43,7.0
44,5.0
45,4.0
46,7.0
47,5.0
48,5.0
49,3.0
50,5.0
51,5.0
52,7.0
53,4.0
54,7.0
55,6.0
56,8.0
57,5.0
58,4.0
59,4.0
60,5.0
61,5.0
62,3.0
63,4.0
64,6.0
65,4.0
66,7.0
67,5.0
68,5.0
69,4.0
70,6.0
71,4.0
72,5.0
73,7.0
74,4.0
75,4.0
76,5.0
77,4.0
78,7.0
79,5.0
80,3.0
81,6.0
82,4.0
83,4.0
84,5.0
85,5.0
86,5.0
87,5.0
88,5.0
89,3.0
90,4.0
91,8.0
92,6.0
93,11.0
94,6.0
95,4.0
96,3.0
97,7.0
98,5.0
99,4.0
