,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_to_hcw_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_to_pat_sum,hcw_to_hcw_sum,hcw_nrow,total_counts
0,0.24793388429752067,0.38461538461538464,0.6758620689655173,0.29577464788732394,60.0,10.0,70,268,98.0,21.0,107,12,216,189.0
1,0.22065727699530516,0.23076923076923078,0.5080645161290323,0.2545454545454545,47.0,3.0,50,226,63.0,14.0,64,13,179,127.0
2,0.22790697674418606,0.47058823529411764,0.5625,0.17647058823529413,49.0,8.0,57,232,72.0,12.0,72,12,196,141.0
3,0.24545454545454545,0.3125,0.5755395683453237,0.20634920634920634,54.0,5.0,59,236,80.0,13.0,75,18,202,152.0
4,0.2540983606557377,0.4074074074074074,0.6590909090909091,0.23809523809523808,62.0,11.0,73,271,116.0,15.0,112,19,239,204.0
5,0.2264957264957265,0.1111111111111111,0.6802721088435374,0.20754716981132076,53.0,2.0,55,252,100.0,11.0,88,23,200,166.0
6,0.27705627705627706,0.4,0.609271523178808,0.2222222222222222,64.0,8.0,72,251,92.0,14.0,91,15,214,178.0
7,0.23529411764705882,0.2727272727272727,0.56,0.29411764705882354,52.0,3.0,55,232,70.0,20.0,72,18,193,145.0
8,0.2838983050847458,0.36,0.5789473684210527,0.37333333333333335,67.0,9.0,76,261,88.0,28.0,98,18,227,192.0
9,0.2054794520547945,0.35294117647058826,0.6583333333333333,0.2222222222222222,45.0,6.0,51,236,79.0,14.0,75,18,183,144.0
10,0.16097560975609757,0.0,0.5,0.22950819672131148,33.0,0.0,33,217,56.0,14.0,58,12,173,103.0
11,0.33201581027667987,0.34615384615384615,0.7409638554216867,0.28205128205128205,84.0,9.0,93,279,123.0,22.0,119,26,244,238.0
12,0.2987012987012987,0.3,0.5688622754491018,0.352112676056338,69.0,6.0,75,251,95.0,25.0,91,29,238,195.0
13,0.24680851063829787,0.08333333333333333,0.6,0.2786885245901639,58.0,1.0,59,247,81.0,17.0,85,13,196,157.0
14,0.24892703862660945,0.3333333333333333,0.6216216216216216,0.2727272727272727,58.0,7.0,65,254,92.0,15.0,96,11,203,172.0
15,0.1956521739130435,0.4,0.5533333333333333,0.3076923076923077,45.0,6.0,51,245,83.0,16.0,85,14,202,150.0
16,0.195,0.3,0.36619718309859156,0.2558139534883721,39.0,3.0,42,210,52.0,11.0,51,12,185,105.0
17,0.24669603524229075,0.4375,0.6349206349206349,0.25862068965517243,56.0,7.0,63,243,80.0,15.0,78,17,184,158.0
18,0.35294117647058826,0.29411764705882354,0.7049180327868853,0.28,96.0,5.0,101,289,129.0,21.0,129,21,258,251.0
19,0.19545454545454546,0.13333333333333333,0.5909090909090909,0.25,43.0,2.0,45,235,78.0,15.0,74,19,192,138.0
20,0.26521739130434785,0.3125,0.6622516556291391,0.18181818181818182,61.0,5.0,66,246,100.0,14.0,88,26,228,180.0
21,0.18048780487804877,0.47619047619047616,0.48412698412698413,0.2830188679245283,37.0,10.0,47,226,61.0,15.0,64,12,179,123.0
22,0.2938775510204082,0.6,0.4883720930232558,0.3918918918918919,72.0,6.0,78,255,84.0,29.0,95,18,246,191.0
23,0.18691588785046728,0.36363636363636365,0.5454545454545454,0.21666666666666667,40.0,4.0,44,225,66.0,13.0,63,16,181,123.0
24,0.2347417840375587,0.5,0.6083333333333333,0.2222222222222222,50.0,10.0,60,233,73.0,14.0,73,14,183,147.0
25,0.2222222222222222,0.5,0.5693430656934306,0.2647058823529412,50.0,7.0,57,239,78.0,18.0,80,16,205,153.0
26,0.2833333333333333,0.4444444444444444,0.6358381502890174,0.24193548387096775,68.0,8.0,76,258,110.0,15.0,100,25,235,201.0
27,0.2336065573770492,0.2608695652173913,0.7094594594594594,0.2714285714285714,57.0,6.0,63,267,105.0,19.0,107,17,218,187.0
28,0.3048780487804878,0.2,0.5568181818181818,0.36363636363636365,75.0,3.0,78,261,98.0,24.0,102,20,242,200.0
