,peak transmission
0,4.0
1,5.0
2,5.0
3,7.0
4,7.0
5,4.0
6,7.0
7,6.0
8,6.0
9,5.0
10,3.0
11,9.0
12,7.0
13,4.0
14,4.0
15,6.0
16,4.0
17,7.0
18,11.0
19,4.0
20,4.0
21,5.0
22,6.0
23,6.0
24,4.0
25,7.0
26,6.0
27,6.0
28,6.0
29,5.0
30,7.0
31,10.0
32,5.0
33,6.0
34,4.0
35,7.0
36,9.0
37,4.0
38,7.0
39,6.0
40,5.0
41,5.0
42,6.0
43,6.0
44,6.0
45,7.0
46,5.0
47,3.0
48,6.0
49,6.0
50,6.0
51,5.0
52,4.0
53,6.0
54,5.0
55,6.0
56,5.0
57,5.0
58,6.0
59,4.0
60,6.0
61,6.0
62,6.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,5.0
69,6.0
70,4.0
71,6.0
72,6.0
73,7.0
74,5.0
75,5.0
76,4.0
77,3.0
78,5.0
79,3.0
80,6.0
81,6.0
82,5.0
83,8.0
84,8.0
85,6.0
86,7.0
87,7.0
88,6.0
89,6.0
90,9.0
91,3.0
92,6.0
93,6.0
94,4.0
95,3.0
96,5.0
97,3.0
98,5.0
99,8.0
